stage,ticker,drug,date
Phase 3,JNJ,DARZALEX (Daratumumab),12/31/2019
Phase 2/3,KPTI,Selinexor - SEAL,12/31/2019
Phase 3,KPTI,Selinexor - BOSTON,12/31/2019
Phase 3,LLY,AZD3293,12/31/2019
Phase 3,MDCO,Inclisiran,12/31/2019
Phase 3,MRK,MK-8931 (019) - Verubecestat,12/31/2019
Phase 3,NVS,QAW039 (fevipiprant),12/31/2019
Phase 3,NVS,OMB157 (ofatumumab),12/31/2019
Phase 3,NVS,Entresto - PARADISE,12/31/2019
Phase 3,OBSV,OBE2109 - PRIMROSE,12/31/2019
Phase 3,RETA,Bardoxolone methyl - CARDINAL,12/31/2019
Phase 2,RETA,Omaveloxolone - MOXIe,12/31/2019
Phase 3,SNY,Fitusiran (ATLAS),12/31/2019
Phase 2,ABBV,ABBV-8E12,06/30/2020
Phase 3,ADXS,Axalimogene filolisbac - AIM2CERV Trial,06/30/2020
Phase 3,AGN,RELAMORELIN,12/31/2020
Phase 3,CELG,REVLIMID - MAGNIFY NHL-008,12/31/2020
Phase 3,CHMA,Mycapssa - MPOWERED,12/31/2020
Phase 3,GSK,Daprodustat - ASCEND-D,12/31/2020
Phase 3,INCY,Ruxolitinib - REACH 2,12/31/2020
Phase 3,NVCR,Tumor Treating Fields (TTFields) METIS,12/31/2020
Phase 3,NVS,Ruxolitinib - REACH 2,12/31/2020
Phase 3,PFE,XTANDI,12/31/2020
Phase 3,PFE,XTANDI (EMBARK),06/30/2021
Phase 3,NVCR,Tumor Treating Fields (TTFields) LUNAR,12/31/2021
Phase 2/3,AMGN,CNP 520,12/31/2023
Phase 2/3,NVS,CNP 520,12/31/2023
