stage,date,drug,ticker
Phase 3,12/31/2019,AZD3293,AZN
Phase 3,12/31/2019,NurOwn,BCLI
Phase 3,12/31/2019,REVLIMID - MAGNIFY NHL-010,CELG
Phase 3,12/31/2019,Mycapssa - OPTIMAL,CHMA
Phase 2b,12/31/2019,Emricasan,CNAT
Phase 3,12/31/2019,Anabasum (Resunab),CRBP
Phase 2,12/31/2019,NeuVax in combination with Herceptin,GALE
Phase 3,12/31/2019,Mepolizumab - SYNAPSE,GSK
Phase 3,12/31/2019,Kadcyla (KAITLIN),IMGN
Phase 3,12/31/2019,INVOKANA - CREDENCE,JNJ
Phase 3,12/31/2019,DARZALEX (Daratumumab),JNJ
Phase 2/3,12/31/2019,Selinexor - SEAL,KPTI
Phase 3,12/31/2019,Selinexor - BOSTON,KPTI
Phase 3,12/31/2019,AZD3293,LLY
Phase 3,12/31/2019,Inclisiran,MDCO
Phase 3,12/31/2019,MK-8931 (019) - Verubecestat,MRK
Phase 3,12/31/2019,QAW039 (fevipiprant),NVS
Phase 3,12/31/2019,OMB157 (ofatumumab),NVS
Phase 3,12/31/2019,Entresto - PARADISE,NVS
Phase 3,12/31/2019,OBE2109 - PRIMROSE,OBSV
Phase 3,12/31/2019,Bardoxolone methyl - CARDINAL,RETA
Phase 3,12/31/2019,Fitusiran (ATLAS),SNY
Phase 2,06/30/2020,ABBV-8E12,ABBV
Phase 3,06/30/2020,Axalimogene filolisbac - AIM2CERV Trial,ADXS
Phase 3,12/31/2020,RELAMORELIN,AGN
Phase 3,12/31/2020,REVLIMID - MAGNIFY NHL-008,CELG
Phase 3,12/31/2020,Mycapssa - MPOWERED,CHMA
Phase 3,12/31/2020,Daprodustat - ASCEND-D,GSK
Phase 3,12/31/2020,Ruxolitinib - REACH 2,INCY
Phase 3,12/31/2020,Tumor Treating Fields (TTFields) METIS,NVCR
Phase 3,12/31/2020,Ruxolitinib - REACH 2,NVS
Phase 3,12/31/2020,XTANDI,PFE
Phase 3,06/30/2021,XTANDI (EMBARK),PFE
Phase 3,12/31/2021,Tumor Treating Fields (TTFields) LUNAR,NVCR
Phase 2/3,12/31/2023,CNP 520,AMGN
Phase 2/3,12/31/2023,CNP 520,NVS
