price,ticker,end_date,drug,stage,date_text
4.69,CNAT,12/31/2018,Emricasan,Phase 2,2H 2018;
20.15,CNCE,12/31/2018,CTP-543,Phase 2a,2H 2018;
62.09,EGRX,12/31/2018,Fulvestrant,Phase 3,4Q 2018;
16.00,EIGR,12/31/2018,Ubenimex - ULTRA,Phase 2,2H 2018;
14.85,EPZM,12/31/2018,Tazemetostat,Phase 2,2018;
73.26,ESPR,12/31/2018,Bempedoic Acid/ Ezetimibe (1002FDC-053),Phase 3,4Q 2018;
49.50,FGEN,12/31/2018,Roxadustat - ANDES,Phase 3,2018;
4.20,FLKS,12/31/2018,FLX-787,Phase 2,2018;
26.45,FLXN,12/31/2018,Zilretta - SHIP,Phase 2,2H 2018;
7.52,GEMP,12/31/2018,Gemcabene - AZURE-1,Phase 2,2H 2018;
79.02,GILD,12/31/2018,Tirabrutinib (GS-4059),Phase 2,2H 2018;
79.02,GILD,12/31/2018,GS-9876,Phase 2,2H 2018;
79.02,GILD,12/31/2018,GS-5734,Phase 2,2H 2018;
79.02,GILD,12/31/2018,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2),Phase 2,2018;
79.02,GILD,12/31/2018,Axicabtagene ciloleucel - KTE-C19 (ZUMA-3),Phase 1/2,2018;
79.02,GILD,12/31/2018,Axicabtagene ciloleucel - KTE-C19 (ZUMA-4),Phase 1/2,2018;
23.04,GTHX,12/31/2018,Trilaciclib,Phase 2,4Q 2018;
11.81,GTXI,12/31/2018,Enobosarm,Phase 2,YE 2018;
131.97,GWPH,12/31/2018,Epidiolex,Phase 3,2H 2018;
131.97,GWPH,12/31/2018,Epidiolex,Phase 3,2H 2018;
20.36,HALO,12/31/2018,PEGPH20 - HALO-301,Phase 3,Late 4Q 2018;
20.36,HALO,12/31/2018,PEGPH20 in combination with KEYTRUDA,Phase 1b,2018;
0.43,HTBX,12/31/2018,HS-110 and nivolumab (Opdivo),Phase 1b,2H 2018;
7.79,IMGN,12/31/2018,Kadcyla (KATHERINE).,Phase 3,2018;
7.45,IMRN,12/31/2018,IMM-124E,Phase 2,4Q 2018;
7.45,IMRN,12/31/2018,IMM-529,Phase 1/2,4Q 2018;
8.84,INSY,12/31/2018,Cannabidiol,Phase 2,YE 2018;
9.00,IOVA,12/31/2018,LN-145,Phase 2,2018;
145.76,JNJ,12/31/2018,STELARA (USTEKINUMAB),Phase 3,2018;
48.75,JUNO,12/31/2018,JCARH125,Phase 1,2018;
10.78,KPTI,12/31/2018,Selinexor - SADAL,Phase 2b,2H 2018;
86.98,LLY,12/31/2018,Flortaucipir F 18 (Tau imaging agent),Phase 3,2018;
10.74,MACK,12/31/2018,MM-121 (SHERBOC),Phase 2,2H 2018;
10.74,MACK,12/31/2018,MM-121,Phase 2,2H 2018;
1.87,MBRX,12/31/2018,Annamycin,Phase 1/2,2018;
7.34,MRNS,12/31/2018,Ganaxolone,Phase 2,2018;
81.37,NBIX,12/31/2018,INGREZZA - T-Force GOLD,Phase 2b,Late-2018;
1.61,NVAX,12/31/2018,RSV vaccine - prepare trial,Phase 3,4Q 2018 or 1Q 2019;
21.70,NVCR,12/31/2018,Tumor Treating Fields (TTFields) STELLAR,Phase 2,2018;
86.65,NVS,12/31/2018,QVM149,Phase 3,2018;
9.70,OBSV,12/31/2018,OBE022 - PROLONG,Phase 2a,YE 2018;
5.60,OCUL,12/31/2018,OTX-TP,Phase 3,2H 2018;
1.94,ONCS,12/31/2018,ImmunoPulse IL-12 - PISCES,Phase 2b,2018;
9.52,OVID,12/31/2018,OV101 (STARS),Phase 2,2H 2018;
7.46,PIRS,12/31/2018,PRS-080,Phase 2a,2H 2018;
3.10,PRQR,12/31/2018,QR-010,Phase 1/2,2018;
1.54,PULM,12/31/2018,PUR1800,Phase 2,Late 2018;
17.59,QURE,12/31/2018,AMT-061,Phase 3,YE 2018;
47.80,RARE,12/31/2018,DTX301,Phase 1/2,2H 2018;
5.17,RDHL,12/31/2018,RHB-105 - ERADICATE Hp 2,Phase 3,2H 2018;
366.96,REGN,12/31/2018,Dupixent (dupilumab),Phase 3,2018;
28.43,RETA,12/31/2018,Bardoxolone methyl - CATALYST,Phase 3,2H 2018;
30.45,RGNX,12/31/2018,RGX-501,Phase 1/2,Late 2018;
4.07,RIGL,12/31/2018,Fostamatinib,Phase 2,2018;
34.50,RVNC,12/31/2018,"RT002 - SAKURA 1, 2 and 3",Phase 3,2H 2018;
8.00,SBBP,12/31/2018,COR-003 (levoketoconazole) - LOGICS,Phase 3,4Q 2018;
1.88,SCYX,12/31/2018,SCY-078 - oral - CARES,Phase 3,4Q 2018;
1.88,SCYX,12/31/2018,SCY-078 - oral (FURI),Phase 3,4Q 2018;
52.36,SGEN,12/31/2018,ADCETRIS in combination with chemotherapy - ECHELON-2,Phase 3,2018;
18.30,SGMO,12/31/2018,SB-FIX,Phase 1/2,2018;
18.06,SNNA,12/31/2018,SNA-001,Phase 3,2H 2018;
18.06,SNNA,12/31/2018,SNA-001,Phase 3,2H 2018;
44.78,SNY,12/31/2018,Isatuximab,Phase 3,4Q 2018;
13.05,SVRA,12/31/2018,Molgradex - IMPALA,Phase 3,YE 2018;
26.98,TBPH,12/31/2018,Closed Triple - CAPTAIN,Phase 3,2H 2018;
2.90,TCON,12/31/2018,TRC105,Phase 2,2018;
2.90,TCON,12/31/2018,TRC102,Phase 2,2018;
2.90,TCON,12/31/2018,TRC105 (TAPPAS),Phase 3,2H 2018;
69.59,TSRO,12/31/2018,Niraparib - AVANOVA,Phase 1/2,2H 2018;
141.27,UTHR,12/31/2018,Esuberaprost - BEAT,Phase 3,2018;
141.27,UTHR,12/31/2018,Orenitram,Phase 3,2H 2018;
14.50,VNDA,12/31/2018,Tradipitant,Phase 2,YE 2018;
14.50,VNDA,12/31/2018,HETLIOZ (tasimelteon),Phase 3,2018;
4.16,XBIT,12/31/2018,XBIO-101,Phase 2,YE 2018;
22.50,XNCR,12/31/2018,XmAb5871,Phase 2,4Q 2018;
39.43,AIMT,03/31/2019,AR101 ARTEMIS,Phase 3,Early 2019;
46.58,ASND,03/31/2019,TransCon,Phase 3,1Q 2019;
6.35,CLSD,03/31/2019,Suprachoroidal CLS-TA - SAPPHIRE,Phase 3,1Q 2019;
2.75,CLSN,03/31/2019,ThermoDox - OPTIMA,Phase 3,1Q 2019;
37.50,GSK,03/31/2019,Danirixin,Phase 2b,1Q 2019;
8.70,ORMP,03/31/2019,ORMD-0801,Phase 2b,Early 2019;
2.50,PRTO,03/31/2019,Vonapanitase (PRT-201) PATENCY-2,Phase 3,1Q 2019;
2.12,RNN,03/31/2019,RX-3117 in combination with Abraxane,Phase 2a,1Q 2019;
28.25,ATRA,06/30/2019,ATA188,Phase 1,1H 2019;
28.25,ATRA,06/30/2019,ATA 129 - ALLELE,Phase 3,1H 2019;
62.81,BMY,06/30/2019,CM-568 - Opdivo + Yervoy,Phase 2,2H 2018 – 1H 2019;
4.92,CMRX,06/30/2019,Oral Brincidofovir,–,1H 2019;
4.69,CNAT,06/30/2019,Emricasan,Phase 2,1H 2019;
4.14,FBIO,06/30/2019,CEVA101,Phase 2,1H 2019;
56.60,GBT,06/30/2019,GBT440 - HOPE,Phase 3,1H 2019;
37.50,GSK,06/30/2019,Tapinarof (GSK2894512),Phase 3,1H 2019;
37.50,GSK,06/30/2019,Inhaled PI3Kδ inhibitor,Phase 2b,1H 2019;
54.95,ICPT,06/30/2019,Ocaliva (Obeticholic acid (OCA)) - REGENERATE,Phase 3,1H 2019;
5.65,KMDA,06/30/2019,Alpha-1 antitrypsin (AAT),Phase 1/2,1H 2019;
6.25,NERV,06/30/2019,MIN-101,Phase 3,1H 2019;
8.49,RARX,06/30/2019,RA101495,Phase 2,1H 2019;
27.40,RYTM,06/30/2019,Setmelanotide,Phase 3,1H 2019;
9.19,SNDX,06/30/2019,Entinostat plus Tecentriq - ENCORE 603,Phase 1/2,1H 2019;
18.06,SNNA,06/30/2019,SNA-120,Phase 2b,1H 2019;
26.98,TBPH,06/30/2019,Telavancin,Phase 3,2018/19;
9.88,TGTX,06/30/2019,TG-1101 and TGR-1202 - UNITY-NHL study,Phase 2/3,1H 2019;
1.26,VTGN,06/30/2019,AV-101,Phase 2,1H 2019;
129.07,ALNY,10/31/2019,Fitusiran (ATLAS),Phase 3,Mid-late 2019;
100.34,ABBV,12/31/2019,Venetoclax,Phase 3,2019;
2.96,ADXS,12/31/2019,Axalimogene filolisbac + durvalumab,Phase 1/2,2019;
1.30,AFMD,12/31/2019,AFM13,Phase 2,2019;
176.05,AGN,12/31/2019,RAPASTINEL,Phase 3,2019;
15.68,AKBA,12/31/2019,Vadadustat - INNO2VATE,Phase 3,2019;
15.68,AKBA,12/31/2019,Vadadustat - PRO2TECT,Phase 3,2019;
17.00,AKCA,12/31/2019,AKCEA-ANGPTL3-LRx,Phase 2,2019;
17.00,AKCA,12/31/2019,AKCEA-APOCIII-LRx,Phase 2b,2019;
185.04,AMGN,12/31/2019,KYPROLIS (ARROW),Phase 3,2019;
112.40,ANAB,12/31/2019,ANB020,Phase 2b,2019;
0.74,ATNM,12/31/2019,Iomab-B,Phase 3,2H 2019;
35.65,AZN,12/31/2019,AZD3293,Phase 3,2019;
35.65,AZN,12/31/2019,Durvalumab +/- tremelimumab (DANUBE),Phase 3,2019;
35.65,AZN,12/31/2019,Brilinta (THEMIS),Phase 3,2019;
3.57,BCLI,12/31/2019,NurOwn,Phase 3,Late 2019;
90.22,BMRN,12/31/2019,Vosoritide,Phase 3,2H 2019;
62.81,BMY,12/31/2019,CM-649 – Opdivo+ Yervoy or Chemo,Phase 3,2019;
62.81,BMY,12/31/2019,CM-9LA Opdivo + Yervoy + Chemo,Phase 3,2019;
62.81,BMY,12/31/2019,CM-651 – Opdivo + Yervoy,Phase 3,2019;
106.00,CELG,12/31/2019,REVLIMID - MAGNIFY NHL-010,Phase 3,2019;
1.48,CHMA,12/31/2019,Mycapssa - OPTIMAL,Phase 3,2019;
4.69,CNAT,12/31/2019,Emricasan,Phase 2b,2019;
24.54,DCPH,12/31/2019,DCC-2618 - INVICTUS,Phase 3,2019;
0.26,GALE,12/31/2019,NeuVax in combination with Herceptin,Phase 2,4Q 2019;
37.50,GSK,12/31/2019,Mepolizumab - SYNAPSE,Phase 3,2019;
7.79,IMGN,12/31/2019,Kadcyla (KAITLIN),Phase 3,2019;
1.90,IMMP,12/31/2019,Eftilagimod Alpha  - Active Immunotherapy PAClitaxel (AIPAC),Phase 2b,2019;
7.45,IMRN,12/31/2019,IMM-124E,Phase 2,2019;
94.07,INCY,12/31/2019,Ruxolitinib - REACH 3,Phase 3,2019;
145.76,JNJ,12/31/2019,INVOKANA - CREDENCE,Phase 3,2019;
145.76,JNJ,12/31/2019,DARZALEX (Daratumumab),Phase 3,2019;
10.01,KALV,12/31/2019,KVD001,Phase 2,2H 2019;
10.78,KPTI,12/31/2019,Selinexor - SEAL,Phase 2/3,2019;
10.78,KPTI,12/31/2019,Selinexor - BOSTON,Phase 3,2019;
27.51,MDCO,12/31/2019,Inclisiran,Phase 3,YE 2019;
58.66,MRK,12/31/2019,MK-8931 (019) - Verubecestat,Phase 3,2019;
86.65,NVS,12/31/2019,QAW039 (fevipiprant),Phase 3,2019;
86.65,NVS,12/31/2019,OMB157 (ofatumumab),Phase 3,2019;
86.65,NVS,12/31/2019,Entresto - PARAGON,Phase 3,2019;
86.65,NVS,12/31/2019,Entresto - PARADISE,Phase 3,2019;
86.65,NVS,12/31/2019,AIN457 (Cosentyx),Phase 3,2019;
9.70,OBSV,12/31/2019,OBE2109 - PRIMROSE 2,Phase 3,2H 2019;
9.70,OBSV,12/31/2019,OBE2109 - PRIMROSE,Phase 3,2H 2019;
2.85,OPHT,12/31/2019,Zimura,Phase 2a,2H 2019;
1.18,OVAS,12/31/2019,OvaPrime,Phase 1/2,2019;
28.43,RETA,12/31/2019,Bardoxolone methyl - CARDINAL,Phase 3,2H 2019;
28.43,RETA,12/31/2019,Omaveloxolone - MOXIe,Phase 2,2H 2019;
4.46,VBIV,12/31/2019,Sci-B-Vac - PROTECT,Phase 3,2H 2019;
11.79,ZYNE,12/31/2019,ZYN002,Phase 2/3,2019;
2.96,ADXS,06/30/2020,Axalimogene filolisbac - AIM2CERV Trial,Phase 3,2020/21;
176.05,AGN,12/31/2020,RELAMORELIN,Phase 3,2020;
35.65,AZN,12/31/2020,Durvalumab (ADJUVANT),Phase 3,2020;
1.16,BLRX,12/31/2020,BL-8040 GENESIS,Phase 3,2020;
1.54,CATB,12/31/2020,Edasalonexent (CAT-1004),Phase 3,2020;
106.00,CELG,12/31/2020,REVLIMID - MAGNIFY NHL-008,Phase 3,2020;
1.48,CHMA,12/31/2020,Mycapssa - MPOWERED,Phase 3,2020;
8.20,CRBP,12/31/2020,Anabasum (Resunab),Phase 3,2020;
37.50,GSK,12/31/2020,Daprodustat - ASCEND-D,Phase 3,2020;
94.07,INCY,12/31/2020,Ruxolitinib - REACH 2,Phase 3,2020;
2.88,KZIA,12/31/2020,GDC-0084,Phase 2,2020;
21.70,NVCR,12/31/2020,Tumor Treating Fields (TTFields) METIS,Phase 3,2020;
2.85,OPHT,12/31/2020,Zimura,Phase 2b,2020;
41.33,PRTA,12/31/2020,NEOD001 VITAL,Phase 3,2020;
21.70,NVCR,12/31/2021,Tumor Treating Fields (TTFields) LUNAR,Phase 3,2021;
86.65,NVS,12/31/2023,CNP 520,Phase 2/3,2023;
