date_text,stage,ticker,price,end_date,drug
,Phase 2,BLRX,0.97,12/31/2018,BL-8040 in combination with KEYTRUDA - COMBAT trial
2018;,Phase 2b,BLRX,0.97,12/31/2018,BL-8040
2H 2018;,Phase 3,BMY,62.70,12/31/2018,CM-602 – Opdivo + Elo + SOC
2H 2018;,Phase 3,BMY,62.70,12/31/2018,CM-459 – Opdivo
2H 2018;,Phase 3,BMY,62.70,12/31/2018,CM-451 – Opdivo + Yervoy
2018;,Phase 3,BYSI,27.00,12/31/2018,Plinabulin
2H 2018;,Phase 2,CANF,2.02,12/31/2018,Namodenoson (CF102)
2018;,Phase 2,CASC,9.99,12/31/2018,Tucatinib - MOUNTAINEER
2018;,Phase 3,CELG,92.51,12/31/2018,OTEZLA - SPSO-001
2018;,Phase 3,CELG,92.51,12/31/2018,REVLIMID - ROBUST
2H 2018;,Phase 3,CELG,92.51,12/31/2018,Oral Azacitidine - CC-486-AML-001
2018;,Phase 3,CELG,92.51,12/31/2018,ABRAXANE - PANC-003 apact
2018;,Phase 3,CELG,92.51,12/31/2018,ABRAXANE - IMpower 130 ( I/O Combo)
2018;,Phase 3,CELG,92.51,12/31/2018,ABRAXANE - IMpower 131 ( I/O Combo)
2018;,Phase 3,CELG,92.51,12/31/2018,ABRAXANE - IMPassion ( I/O Combo)
4Q 2018;,Phase 2,CFRX,1.46,12/31/2018,CF-301
2H 2018;,Phase 2,CMRX,4.90,12/31/2018,IV Brincidofovir
2H 2018;,Phase 2,CMTX,10.00,12/31/2018,CX-2009 - PROCLAIM
2H 2018;,Phase 2,CNAT,5.06,12/31/2018,Emricasan
2H 2018;,Phase 2a,CNCE,20.09,12/31/2018,CTP-543
2H 2018;,Phase 1/2,CTMX,27.00,12/31/2018,CX 2009
2H 2018;,Phase 1,DCPH,26.07,12/31/2018,DCC-3014
4Q 2018;,Phase 3,EGRX,56.81,12/31/2018,Fulvestrant
2H 2018;,Phase 2,EIGR,8.15,12/31/2018,Ubenimex - ULTRA
2018;,Phase 2,EPZM,16.00,12/31/2018,Tazemetostat
4Q 2018;,Phase 3,ESPR,69.46,12/31/2018,Bempedoic Acid/ Ezetimibe (1002FDC-053)
2H 2018;,Phase 3,FGEN,50.70,12/31/2018,Roxadustat - ANDES
2018;,Phase 2,FLKS,4.17,12/31/2018,FLX-787
2H 2018;,Phase 2,FLXN,21.92,12/31/2018,Zilretta - SHIP
2H 2018;,Phase 2,GEMP,6.38,12/31/2018,Gemcabene - AZURE-1
4Q 2018;,Phase 2,GILD,79.32,12/31/2018,Tirabrutinib (GS-4059)
2H 2018;,Phase 2,GILD,79.32,12/31/2018,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2)
2018;,Phase 3,GLYC,22.32,12/31/2018,GMI-1070 (rivipansel)
2H 2018;,Phase 3,GSK,36.49,12/31/2018,Dolutegravir + rilpivirine
4Q 2018;,Phase 2,GTHX,19.38,12/31/2018,Trilaciclib
YE 2018;,Phase 2,GTXI,14.51,12/31/2018,Enobosarm
2H 2018;,Phase 3,GWPH,126.06,12/31/2018,Epidiolex
2H 2018;,Phase 3,GWPH,126.06,12/31/2018,Epidiolex
Late 4Q 2018;,Phase 3,HALO,17.17,12/31/2018,PEGPH20 - HALO-301
2018;,Phase 1b,HALO,17.17,12/31/2018,PEGPH20 in combination with KEYTRUDA
2018;,Phase 3,IMGN,8.91,12/31/2018,Kadcyla (KATHERINE).
4Q 2018;,Phase 2,IMRN,7.54,12/31/2018,IMM-124E
4Q 2018;,Phase 1/2,IMRN,7.54,12/31/2018,IMM-529
YE 2018;,Phase 2,INSY,7.65,12/31/2018,Cannabidiol
2018;,Phase 3,JNJ,129.53,12/31/2018,STELARA (USTEKINUMAB)
2018;,Phase 1,JUNO,85.69,12/31/2018,JCARH125
2H 2018;,Phase 2b,KPTI,13.06,12/31/2018,Selinexor - SADAL
2018;,Phase 3,LLY,76.23,12/31/2018,Ramucirumab
2018;,Phase 3,LLY,76.23,12/31/2018,Ramucirumab
2018;,Phase 3,LLY,76.23,12/31/2018,Empagliflozin
2018;,Phase 3,LLY,76.23,12/31/2018,Ixekizumab
2018;,–,LLY,76.23,12/31/2018,Tradjenta (linagliptin) - CARMELINA CV outcomes
2018;,Phase 3,LLY,76.23,12/31/2018,Ultra rapid insulin
2018;,Phase 3,LLY,76.23,12/31/2018,Tanezumab
2018;,Phase 3,LLY,76.23,12/31/2018,Ramucirumab
2018;,Phase 3,LLY,76.23,12/31/2018,Flortaucipir F 18 (Tau imaging agent)
2H 2018;,Phase 2,MACK,10.00,12/31/2018,MM-121 (SHERBOC)
2H 2018;,Phase 2,MACK,10.00,12/31/2018,MM-121
2018;,Phase 1/2,MBRX,1.68,12/31/2018,Annamycin
Late 2018 or early 2019;,Phase 2,MNLO,35.65,12/31/2018,Serlopitant
Late 2018 or early 2019;,Phase 2,MNLO,35.65,12/31/2018,Serlopitant
2018;,Phase 2,MRNS,6.01,12/31/2018,Ganaxolone
Late-2018;,Phase 2b,NBIX,79.28,12/31/2018,INGREZZA - T-Force GOLD
2018;,Phase 1,NCNA,20.56,12/31/2018,NUC-3373
2018;,Phase 2,NCNA,20.56,12/31/2018,NUC-1031 (Acelarin)
2018;,Phase 1/2,NITE,12.44,12/31/2018,NSR-RPGR
4Q 2018 or 1Q 2019;,Phase 3,NVAX,1.98,12/31/2018,RSV vaccine - prepare trial
2018;,Phase 2,NVCR,20.95,12/31/2018,Tumor Treating Fields (TTFields) STELLAR
2H 2018;,Phase 3,NVS,83.25,12/31/2018,BYL719
2H 2018;,Phase 2,NVS,83.25,12/31/2018,LIK066
2H 2018;,Phase 3,NVS,83.25,12/31/2018,Entresto - PARAGON
YE 2018;,Phase 2a,OBSV,12.19,12/31/2018,OBE022 - PROLONG
2H 2018;,Phase 3,OCUL,5.03,12/31/2018,OTX-TP
2018;,Phase 2b,ONCS,1.64,12/31/2018,ImmunoPulse IL-12 - PISCES
2H 2018;,Phase 2,OVID,6.80,12/31/2018,OV101 (STARS)
2H 2018;,Phase 2a,PIRS,8.59,12/31/2018,PRS-080
2018;,Phase 1/2,PRQR,2.90,12/31/2018,QR-010
4Q 2018;,Phase 2a,PULM,1.51,12/31/2018,PUR1800
YE 2018;,Phase 3,QURE,19.17,12/31/2018,AMT-061
2H 2018;,Phase 1/2,RARE,44.47,12/31/2018,DTX301
2H 2018;,Phase 3,RDHL,5.70,12/31/2018,RHB-105 - ERADICATE Hp 2
2H 2018;,Phase 2,REGN,336.38,12/31/2018,Cemiplimab
4Q 2018;,Phase 3,REGN,336.38,12/31/2018,Dupixent (dupilumab)
2H 2018;,Phase 3,RETA,26.22,12/31/2018,Bardoxolone methyl - CATALYST
Late 2018;,Phase 1/2,RGNX,25.70,12/31/2018,RGX-501
2018;,Phase 2,RIGL,3.79,12/31/2018,Fostamatinib
2H 2018;,Phase 3,RVNC,29.70,12/31/2018,"RT002 - SAKURA 1, 2 and 3"
4Q 2018;,Phase 2,SAGE,152.15,12/31/2018,SAGE-217
4Q 2018;,Phase 3,SBBP,6.60,12/31/2018,COR-003 (levoketoconazole) - LOGICS
4Q 2018;,Phase 3,SCYX,1.69,12/31/2018,SCY-078 - oral - CARES
4Q 2018;,Phase 3,SCYX,1.69,12/31/2018,SCY-078 - oral (FURI)
2018;,Phase 3,SGEN,50.14,12/31/2018,ADCETRIS in combination with chemotherapy - ECHELON-2
2018;,Phase 1/2,SGMO,19.60,12/31/2018,SB-FIX
2H 2018;,Phase 3,SNGX,1.97,12/31/2018,SGX301 (synthetic hypericin)
2H 2018;,Phase 3,SNNA,14.40,12/31/2018,SNA-001
2H 2018;,Phase 3,SNNA,14.40,12/31/2018,SNA-001
4Q 2018;,Phase 3,SNY,38.98,12/31/2018,Isatuximab
2H 2018;,Phase 3,SPPI,20.17,12/31/2018,SPI-2012 (ROLONTIS)
2H 2018;,Phase 1/2,SRPT,55.14,12/31/2018,Microdystrophin gene therapy rAAVrh74.MCK.GALGT2
2H 2018;,Phase 1/2,SRPT,55.14,12/31/2018,GALGT2 gene therapy
YE 2018;,Phase 3,SVRA,11.70,12/31/2018,Molgradex - IMPALA
2H 2018;,Phase 1,SYBX,9.54,12/31/2018,SYNB1618
YE 2018;,Phase 1/2,SYBX,9.54,12/31/2018,SYNB1020
2018;,Phase 2,TCON,2.90,12/31/2018,TRC105
2018;,Phase 2,TCON,2.90,12/31/2018,TRC102
2H 2018;,Phase 3,TCON,2.90,12/31/2018,TRC105 (TAPPAS)
2H 2018;,Phase 2b,TORC,17.00,12/31/2018,RTB101 and Everolimus
2H 2018;,Phase 1/2,TSRO,58.89,12/31/2018,Niraparib - AVANOVA
2H 2018;,Phase 2,TYME,3.99,12/31/2018,SM-88
2018;,Phase 3,UTHR,128.71,12/31/2018,Esuberaprost - BEAT
2H 2018;,Phase 3,UTHR,128.71,12/31/2018,Orenitram
YE 2018;,Phase 2,VNDA,15.63,12/31/2018,Tradipitant
2018;,Phase 3,VNDA,15.63,12/31/2018,HETLIOZ (tasimelteon)
2H 2018;,Phase 2,VTGN,1.16,12/31/2018,AV-101
YE 2018;,Phase 2,XBIT,4.17,12/31/2018,XBIO-101
4Q 2018;,Phase 2,XNCR,21.70,12/31/2018,XmAb5871
2H 2018;,Phase 3,ZEAL,15.28,12/31/2018,Dasiglucagon
,Phase 2a,ANAB,104.33,02/17/2019,ANB020
Early 2019;,Phase 3,AIMT,38.68,03/31/2019,AR101 ARTEMIS
1Q 2019;,Phase 3,ASND,50.10,03/31/2019,TransCon
Early 2019;,Phase 2,CLBS,3.85,03/31/2019,CLBS03
1Q 2019;,Phase 3,CLSD,5.77,03/31/2019,Suprachoroidal CLS-TA - SAPPHIRE
1Q 2019;,Phase 3,CLSN,2.12,03/31/2019,ThermoDox - OPTIMA
Early 2019;,Phase 3,CTXR,3.34,03/31/2019,Mino-Lok
1Q 2019;,Phase 3,EVFM,7.20,03/31/2019,Amphora - AMPOWER
1Q 2019;,Phase 2b,GSK,36.49,03/31/2019,Danirixin
1Q 2019;,Phase 1/2,IMRN,7.54,03/31/2019,IMM-529
Early 2019;,Phase 2b,ORMP,7.72,03/31/2019,ORMD-0801
1Q 2019;,Phase 3,PRTO,2.25,03/31/2019,Vonapanitase (PRT-201) PATENCY-2
1Q 2019;,Phase 2a,RNN,1.90,03/31/2019,RX-3117 in combination with Abraxane
1H 2019;,Phase 1,ATRA,41.70,06/30/2019,ATA188
1H 2019;,Phase 3,ATRA,41.70,06/30/2019,ATA 129 - ALLELE
1H 2019;,Phase 3,BMY,62.70,06/30/2019,CM-714 Opdivo + Yervoy
2H 2018 – 1H 2019;,Phase 2,BMY,62.70,06/30/2019,CM-568 - Opdivo + Yervoy
1H 2019;,–,CMRX,4.90,06/30/2019,Oral Brincidofovir
1H 2019;,Phase 2,CNAT,5.06,06/30/2019,Emricasan
1H 2019;,Phase 2b,DERM,26.79,06/30/2019,Lebrikizumab
1H 2019;,Phase 2,FBIO,3.63,06/30/2019,CEVA101
1H 2019;,Phase 3,GBT,57.15,06/30/2019,GBT440 - HOPE
1H 2019;,Phase 2,GILD,79.32,06/30/2019,GS-9877
2Q 2019;,Phase 3,GILD,79.32,06/30/2019,F/TAF (Descovy)
1H 2019;,Phase 3,GSK,36.49,06/30/2019,Tapinarof (GSK2894512)
1H 2019;,Phase 2b,GSK,36.49,06/30/2019,Inhaled PI3Kδ inhibitor (Nemiralisib)
1H 2019;,Phase 3,ICPT,54.21,06/30/2019,Ocaliva (Obeticholic acid (OCA)) - REGENERATE
1H 2019;,Phase 3,NERV,5.55,06/30/2019,MIN-101
1H 2019;,Phase 2,RARX,6.30,06/30/2019,RA101495
1H 2019;,Phase 3,RYTM,25.76,06/30/2019,Setmelanotide
1H 2019;,Phase 1/2,SLDB,25.66,06/30/2019,SGT-001
1H 2019;,Phase 1/2,SNDX,8.98,06/30/2019,Entinostat plus Tecentriq - ENCORE 603
1H 2019;,Phase 3,SNGX,1.97,06/30/2019,SGX942 (dusquetide)
1H 2019;,Phase 2b,SNNA,14.40,06/30/2019,SNA-120
2018/19;,Phase 3,TBPH,27.95,06/30/2019,Telavancin
1H 2019;,Phase 2/3,TGTX,11.75,06/30/2019,TG-1101 and TGR-1202 - UNITY-NHL study
1H 2019;,Phase 2,VTGN,1.16,06/30/2019,AV-101
Mid-2019;,Phase 3,TBPH,27.95,07/31/2019,Closed Triple - CAPTAIN
2019;,Phase 3,ABBV,111.30,12/31/2019,Venetoclax
2019;,Phase 1/2,ADXS,2.63,12/31/2019,Axalimogene filolisbac + durvalumab
2019;,Phase 2,AFMD,2.40,12/31/2019,AFM13
2019;,Phase 3,AGN,162.77,12/31/2019,RAPASTINEL
2019;,Phase 3,AKBA,14.11,12/31/2019,Vadadustat - INNO2VATE
2019;,Phase 3,AKBA,14.11,12/31/2019,Vadadustat - PRO2TECT
2019;,Phase 2,AKCA,21.49,12/31/2019,AKCEA-ANGPTL3-LRx
2019;,Phase 2b,AKCA,21.49,12/31/2019,AKCEA-APOCIII-LRx
2H 2019;,Phase 3,ALNA,6.91,12/31/2019,ALLN-177
2019;,Phase 3,AMGN,173.46,12/31/2019,KYPROLIS (ARROW)
2H 2019;,Phase 3,ATNM,0.54,12/31/2019,Iomab-B
2019;,Phase 3,AZN,33.61,12/31/2019,Imfinzi + tremelimumab  (POSEIDON)
2019;,Phase 3,AZN,33.61,12/31/2019,Imfinzi + tremelimumab (CASPIAN)
2019;,Phase 3,AZN,33.61,12/31/2019,Imfinzi + tremelimumab  (DANUBE)
2019;,Phase 3,AZN,33.61,12/31/2019,Lynparza - SOLO 3
2019;,Phase 3,AZN,33.61,12/31/2019,Farxiga (Dapa-HF)
2019;,Phase 3,AZN,33.61,12/31/2019,Lanabecestat (AZD3293) - AMARANTH
2019;,Phase 3,AZN,33.61,12/31/2019,Durvalumab +/- tremelimumab (DANUBE)
2019;,Phase 3,AZN,33.61,12/31/2019,Brilinta (THEMIS)
Late 2019;,Phase 3,BCLI,3.12,12/31/2019,NurOwn
2H 2019;,Phase 3,BMRN,80.33,12/31/2019,Vosoritide
2019;,Phase 3,BMY,62.70,12/31/2019,CM-649 – Opdivo+ Yervoy or Chemo
2H 2019;,Phase 3,BMY,62.70,12/31/2019,CM-9LA Opdivo + Yervoy + Chemo
2019;,Phase 3,BMY,62.70,12/31/2019,CM-651 – Opdivo + Yervoy
2019;,Phase 3,CELG,92.51,12/31/2019,REVLIMID - MAGNIFY NHL-010
2019;,Phase 3,CHMA,1.50,12/31/2019,Mycapssa - OPTIMAL
2019;,Phase 2b,CNAT,5.06,12/31/2019,Emricasan
2019;,Phase 3,DCPH,26.07,12/31/2019,DCC-2618 - INVICTUS
2H 2019;,Phase 2,GILD,79.32,12/31/2019,GS-9876
2019;,Phase 3,GSK,36.49,12/31/2019,Mepolizumab - SYNAPSE
2019;,Phase 3,IMGN,8.91,12/31/2019,Kadcyla (KAITLIN)
2019;,Phase 2b,IMMP,1.74,12/31/2019,Eftilagimod Alpha  - Active Immunotherapy PAClitaxel (AIPAC)
2019;,Phase 2,IMRN,7.54,12/31/2019,IMM-124E
2019;,Phase 3,INCY,84.50,12/31/2019,Ruxolitinib - REACH 3
2019;,Phase 3,INCY,84.50,12/31/2019,Ruxolitinib - REACH 2
2019;,Phase 3,JNJ,129.53,12/31/2019,INVOKANA - CREDENCE
2019;,Phase 3,JNJ,129.53,12/31/2019,DARZALEX (Daratumumab)
2H 2019;,Phase 2,KALV,10.61,12/31/2019,KVD001
2H 2019;,Phase 1/2,KMDA,5.00,12/31/2019,Alpha-1 antitrypsin (AAT)
2H 2019;,Phase 2,KMDA,5.00,12/31/2019,Alpha-1 antitrypsin (AAT)
2019;,Phase 2/3,KPTI,13.06,12/31/2019,Selinexor - SEAL
2019;,Phase 3,KPTI,13.06,12/31/2019,Selinexor - BOSTON
2019;,Phase 3,LXRX,9.29,12/31/2019,Sotagliflozin
2H 2019;,–,MDCO,30.84,12/31/2019,Inclisiran - ORION 11
2019;,Phase 3,MRK,54.87,12/31/2019,MK-8931 (019) - Verubecestat
2019;,Phase 3,NVS,83.25,12/31/2019,QVM149
2019;,Phase 3,NVS,83.25,12/31/2019,QAW039 (fevipiprant)
2019;,Phase 3,NVS,83.25,12/31/2019,OMB157 (ofatumumab)
2019;,Phase 3,NVS,83.25,12/31/2019,Entresto - PARADISE
2H 2019;,Phase 3,OBSV,12.19,12/31/2019,OBE2109 - PRIMROSE 2
2H 2019;,Phase 3,OBSV,12.19,12/31/2019,OBE2109 - PRIMROSE
2019;,Phase 3,ONTX,1.02,12/31/2019,IV Rigosertib - INSPIRE
2H 2019;,Phase 2a,OPHT,2.79,12/31/2019,Zimura
2019;,Phase 1/2,OVAS,0.97,12/31/2019,OvaPrime
2019;,Phase 2,REGN,336.38,12/31/2019,Cemiplimab
2H 2019;,Phase 3,RETA,26.22,12/31/2019,Bardoxolone methyl - CARDINAL
2H 2019;,Phase 2,RETA,26.22,12/31/2019,Omaveloxolone - MOXIe
2019;,Phase 2,SLGL,10.60,12/31/2019,TWIN
2019;,Phase 2,SLGL,10.60,12/31/2019,VERED
4Q 2019;,Phase 2,SLS,5.26,12/31/2019,NeuVax in combination with Herceptin
2019;,Phase 3,SNY,38.98,12/31/2019,NeoGAA - COMET
2019;,Phase 2/3,SNY,38.98,12/31/2019,Olipudase alfa
2H 2019;,Phase 3,VBIV,3.85,12/31/2019,Sci-B-Vac - PROTECT
2019;,Phase 2/3,ZYNE,11.33,12/31/2019,ZYN002
2020/21;,Phase 3,ADXS,2.63,06/30/2020,Axalimogene filolisbac - AIM2CERV Trial
1H 2020;,Phase 2b,GSK,36.49,06/30/2020,GSK 165
1H 2020;,Phase 3,MNK,16.02,06/30/2020,Terlipressin
1H 2020;,Phase 2,MNK,16.02,06/30/2020,H.P. Acthar Gel
1H 2020;,Phase 3,MNK,16.02,06/30/2020,UVADEX (methoxsalen) and Therakos
1H 2020;,Phase 3,MNLO,35.65,06/30/2020,Serlopitant
2020;,Phase 3,AGN,162.77,12/31/2020,RELAMORELIN
2020;,Phase 3,AZN,33.61,12/31/2020,Farxiga (Dapa-CKD)
2020;,Phase 3,AZN,33.61,12/31/2020,Durvalumab (ADJUVANT)
2020;,Phase 3,BLRX,0.97,12/31/2020,BL-8040 GENESIS
2020;,Phase 3,CATB,1.23,12/31/2020,Edasalonexent (CAT-1004)
2020;,Phase 3,CELG,92.51,12/31/2020,REVLIMID - MAGNIFY NHL-008
2020;,Phase 3,CHMA,1.50,12/31/2020,Mycapssa - MPOWERED
2020;,Phase 3,CRBP,7.05,12/31/2020,Anabasum (Resunab)
2H 2020;,Phase 3,GSK,36.49,12/31/2020,Daprodustat - ASCEND-D
2020;,Phase 2,KZIA,4.25,12/31/2020,GDC-0084
2020;,Phase 3,NVCR,20.95,12/31/2020,Tumor Treating Fields (TTFields) METIS
2020;,Phase 3,ODT,15.44,12/31/2020,Tesetaxel - CONTESSA
2020;,Phase 2b,OPHT,2.79,12/31/2020,Zimura
2020;,Phase 3,PRTA,28.19,12/31/2020,NEOD001 VITAL
2020;,Phase 3,SNY,38.98,12/31/2020,Efpeglenatide
2021;,Phase 3,NVCR,20.95,12/31/2021,Tumor Treating Fields (TTFields) LUNAR
2021;,Phase 3,REGN,336.38,12/31/2021,Cemiplimab
2021;,Phase 3,REGN,336.38,12/31/2021,Dupixent (dupilumab)
2021;,Phase 2,SLGL,10.60,12/31/2021,SIRS-T
2022;,Phase 3,NVS,83.25,12/31/2022,Cosentyx (secukinumab) - SURPASS
2024;,Phase 2/3,NVS,83.25,12/31/2024,CNP 520
