price,end_date,stage,ticker,date_text,drug
1.99,12/31/2018,Phase 2,BLPH,YE 2018;,INOpulse delivery device
1.99,12/31/2018,Phase 3,BLPH,2018;,INOpulse delivery device
0.99,12/31/2018,Phase 2,BLRX,,BL-8040 in combination with KEYTRUDA - COMBAT trial
0.99,12/31/2018,Phase 2b,BLRX,2018;,BL-8040
67.95,12/31/2018,Phase 3,BMY,2H 2018;,CM-602 – Opdivo + Elo + SOC
67.95,12/31/2018,Phase 3,BMY,2H 2018;,CM-459 – Opdivo
67.95,12/31/2018,Phase 3,BMY,2H 2018;,CM-451 – Opdivo + Yervoy
24.99,12/31/2018,Phase 3,BYSI,2018;,Plinabulin
1.83,12/31/2018,Phase 2,CANF,2H 2018;,Namodenoson (CF102)
10.00,12/31/2018,Phase 2,CASC,2018;,Tucatinib - MOUNTAINEER
95.61,12/31/2018,Phase 3,CELG,2018;,OTEZLA - SPSO-001
95.61,12/31/2018,Phase 3,CELG,2018;,REVLIMID - ROBUST
95.61,12/31/2018,Phase 3,CELG,2H 2018;,Oral Azacitidine - CC-486-AML-001
95.61,12/31/2018,Phase 3,CELG,2018;,ABRAXANE - PANC-003 apact
95.61,12/31/2018,Phase 3,CELG,2018;,ABRAXANE - IMpower 130 ( I/O Combo)
95.61,12/31/2018,Phase 3,CELG,2018;,ABRAXANE - IMpower 131 ( I/O Combo)
95.61,12/31/2018,Phase 3,CELG,2018;,ABRAXANE - IMPassion ( I/O Combo)
1.65,12/31/2018,Phase 2,CFRX,4Q 2018;,CF-301
4.89,12/31/2018,Phase 2,CMRX,2H 2018;,IV Brincidofovir
10.00,12/31/2018,Phase 2,CMTX,2H 2018;,CX-2009 - PROCLAIM
5.15,12/31/2018,Phase 2,CNAT,2H 2018;,Emricasan
21.75,12/31/2018,Phase 2a,CNCE,4Q 2018;,CTP-543
29.22,12/31/2018,Phase 1/2,CTMX,2H 2018;,CX 2009
7.90,12/31/2018,Phase 2,CYTK,2H 2018;,CK-2127107 - FORTITUDE-ALS
7.90,12/31/2018,Phase 2,CYTK,2H 2018;,CK-2127107
25.04,12/31/2018,Phase 1,DCPH,2H 2018;,DCC-3014
66.86,12/31/2018,Phase 3,EGRX,4Q 2018;,Fulvestrant
8.45,12/31/2018,Phase 2,EIGR,2H 2018;,Ubenimex - ULTRA
17.60,12/31/2018,Phase 2,EPZM,2018;,Tazemetostat
57.50,12/31/2018,Phase 3,FGEN,2H 2018;,Roxadustat - ANDES
4.16,12/31/2018,Phase 2,FLKS,2018;,FLX-787
25.26,12/31/2018,Phase 2,FLXN,2H 2018;,Zilretta - SHIP
6.66,12/31/2018,Phase 2,GEMP,2H 2018;,Gemcabene - AZURE-1
80.91,12/31/2018,Phase 2,GILD,4Q 2018;,Tirabrutinib (GS-4059)
80.91,12/31/2018,Phase 2,GILD,2H 2018;,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2)
111.41,12/31/2018,Phase 3,GLPG,2018;,Filgotinib - FINCH 2
24.19,12/31/2018,Phase 3,GLYC,2018;,GMI-1070 (rivipansel)
36.84,12/31/2018,Phase 3,GSK,2H 2018;,Dolutegravir + rilpivirine
24.11,12/31/2018,Phase 2,GTHX,4Q 2018;,Trilaciclib
24.11,12/31/2018,Phase 2,GTHX,4Q 2018;,Trilaciclib
24.11,12/31/2018,Phase 2,GTHX,4Q 2018;,Trilaciclib plus Tecentriq
16.59,12/31/2018,Phase 2,GTXI,YE 2018;,Enobosarm
115.31,12/31/2018,Phase 3,GWPH,2H 2018;,Epidiolex
115.31,12/31/2018,Phase 3,GWPH,2H 2018;,Epidiolex
19.87,12/31/2018,Phase 1b,HALO,2H 2018;,PEGPH20 in combination with KEYTRUDA
11.19,12/31/2018,Phase 3,IMGN,2018;,Kadcyla (KATHERINE).
9.70,12/31/2018,Phase 2,IMRN,4Q 2018;,IMM-124E
9.70,12/31/2018,Phase 1/2,IMRN,4Q 2018;,IMM-529
87.80,12/31/2018,Phase 2,INCY,2018;,INCB54828 (FIGHT-202)
7.88,12/31/2018,Phase 2,INSY,YE 2018;,Cannabidiol
132.02,12/31/2018,Phase 3,JNJ,2018;,STELARA (USTEKINUMAB)
86.58,12/31/2018,Phase 1,JUNO,2018;,JCARH125
14.85,12/31/2018,Phase 2b,KPTI,2H 2018;,Selinexor - SADAL
78.75,12/31/2018,Phase 3,LLY,2018;,Ramucirumab
78.75,12/31/2018,Phase 3,LLY,2018;,Ramucirumab
78.75,12/31/2018,Phase 3,LLY,2018;,Empagliflozin
78.75,12/31/2018,Phase 3,LLY,2018;,Ixekizumab
78.75,12/31/2018,–,LLY,2018;,Tradjenta (linagliptin) - CARMELINA CV outcomes
78.75,12/31/2018,Phase 3,LLY,2018;,Ultra rapid insulin
78.75,12/31/2018,Phase 3,LLY,2018;,Tanezumab
78.75,12/31/2018,Phase 3,LLY,2018;,Ramucirumab
78.75,12/31/2018,Phase 3,LLY,2018;,Flortaucipir F 18 (Tau imaging agent)
6.59,12/31/2018,Phase 2,LPTX,2018;,DKN-01 and Paclitaxel
6.59,12/31/2018,Phase 1,LPTX,2018;,TRX518 in combination with gemcitabine chemotherapy or KEYTRUDA or Opdivo
6.59,12/31/2018,Phase 1/2,LPTX,2018;,DKN-01 + KEYTRUDA
11.29,12/31/2018,Phase 2,MACK,2H 2018;,MM-121 (SHERBOC)
11.29,12/31/2018,Phase 2,MACK,2H 2018;,MM-121
1.93,12/31/2018,Phase 1/2,MBRX,2018;,Annamycin
34.73,12/31/2018,Phase 2,MNLO,Late 2018 or early 2019;,Serlopitant
34.73,12/31/2018,Phase 2,MNLO,Late 2018 or early 2019;,Serlopitant
5.67,12/31/2018,Phase 2,MRNS,2018;,Ganaxolone
56.75,12/31/2018,Phase 1b,MYOK,2H 2018;,MYK-491
84.27,12/31/2018,Phase 2b,NBIX,Late-2018;,INGREZZA - T-Force GOLD
20.78,12/31/2018,Phase 1,NCNA,2018;,NUC-3373
20.78,12/31/2018,Phase 2,NCNA,2018;,NUC-1031 (Acelarin)
13.51,12/31/2018,Phase 1/2,NITE,2018;,NSR-RPGR
2.33,12/31/2018,Phase 3,NVAX,4Q 2018 or 1Q 2019;,RSV vaccine - prepare trial
53.93,12/31/2018,Phase 3,NVO,2018;,Semaglutide - oral - PIONEER
85.33,12/31/2018,Phase 3,NVS,2H 2018;,BYL719
85.33,12/31/2018,Phase 2,NVS,2H 2018;,LIK066
85.33,12/31/2018,Phase 3,NVS,2H 2018;,Entresto - PARAGON
15.22,12/31/2018,Phase 2a,OBSV,YE 2018;,OBE022 - PROLONG
5.04,12/31/2018,Phase 3,OCUL,2H 2018;,OTX-TP
1.78,12/31/2018,Phase 2b,ONCS,2018;,ImmunoPulse IL-12 - PISCES
6.87,12/31/2018,Phase 2,OVID,2H 2018;,OV101 (STARS)
8.59,12/31/2018,Phase 2a,PIRS,2H 2018;,PRS-080
3.50,12/31/2018,Phase 1/2,PRQR,2018;,QR-010
1.43,12/31/2018,Phase 2a,PULM,4Q 2018;,PUR1800
25.53,12/31/2018,Phase 3,QURE,YE 2018;,AMT-061
47.86,12/31/2018,Phase 3,RARE,2H 2018;,KRN23 Burosumab
47.86,12/31/2018,Phase 1/2,RARE,2H 2018;,DTX301
47.86,12/31/2018,Phase 3,RARE,2H 2018;,UX007 (triheptanoin)
6.28,12/31/2018,Phase 3,RDHL,2H 2018;,RHB-105 - ERADICATE Hp 2
323.86,12/31/2018,Phase 2,REGN,2H 2018;,Cemiplimab
323.86,12/31/2018,Phase 3,REGN,4Q 2018;,Dupixent (dupilumab)
24.20,12/31/2018,Phase 3,RETA,2H 2018;,Bardoxolone methyl - CATALYST
27.85,12/31/2018,Phase 1/2,RGNX,Late 2018;,RGX-501
3.73,12/31/2018,Phase 2,RIGL,2018;,Fostamatinib
30.50,12/31/2018,Phase 3,RVNC,2H 2018;,"RT002 - SAKURA 1, 2 and 3"
164.15,12/31/2018,Phase 2,SAGE,4Q 2018;,SAGE-217
6.55,12/31/2018,Phase 3,SBBP,4Q 2018;,COR-003 (levoketoconazole) - LOGICS
12.05,12/31/2018,Phase 2,SBPH,2H 2018;,Inarigivir and Vemlidy
1.70,12/31/2018,Phase 3,SCYX,4Q 2018;,SCY-078 - oral - CARES
1.70,12/31/2018,Phase 3,SCYX,4Q 2018;,SCY-078 - oral (FURI)
55.35,12/31/2018,Phase 3,SGEN,2018;,ADCETRIS in combination with chemotherapy - ECHELON-2
24.95,12/31/2018,Phase 1/2,SGMO,2018;,SB-FIX
2.02,12/31/2018,Phase 3,SNGX,2H 2018;,SGX301 (synthetic hypericin)
15.98,12/31/2018,Phase 3,SNNA,2H 2018;,SNA-001
15.98,12/31/2018,Phase 3,SNNA,2H 2018;,SNA-001
40.13,12/31/2018,Phase 3,SNY,4Q 2018;,Isatuximab
22.49,12/31/2018,Phase 3,SPPI,2H 2018;,SPI-2012 (ROLONTIS)
63.91,12/31/2018,Phase 1/2,SRPT,2H 2018;,Microdystrophin gene therapy rAAVrh74.MCK.GALGT2
63.91,12/31/2018,Phase 1/2,SRPT,2H 2018;,GALGT2 gene therapy
12.12,12/31/2018,Phase 1,SYBX,2H 2018;,SYNB1618
12.12,12/31/2018,Phase 1/2,SYBX,YE 2018;,SYNB1020
2.10,12/31/2018,Phase 2,TCON,2018;,TRC105
2.10,12/31/2018,Phase 2,TCON,2018;,TRC102
2.10,12/31/2018,Phase 3,TCON,2H 2018;,TRC105 (TAPPAS)
20.85,12/31/2018,Phase 2b,TORC,2H 2018;,RTB101 and Everolimus
60.74,12/31/2018,Phase 1/2,TSRO,2H 2018;,Niraparib - AVANOVA
3.66,12/31/2018,Phase 2,TYME,2H 2018;,SM-88
118.04,12/31/2018,Phase 3,UTHR,2018;,Esuberaprost - BEAT
118.04,12/31/2018,Phase 3,UTHR,2H 2018;,Orenitram
18.70,12/31/2018,Phase 2,VNDA,YE 2018;,Tradipitant
18.70,12/31/2018,Phase 3,VNDA,YE 2018;,HETLIOZ (tasimelteon)
1.18,12/31/2018,Phase 2,VTGN,2H 2018;,AV-101
4.79,12/31/2018,Phase 2,XBIT,YE 2018;,XBIO-101
27.64,12/31/2018,Phase 2,XNCR,4Q 2018;,XmAb5871
15.90,12/31/2018,Phase 3,ZEAL,2H 2018;,Dasiglucagon
123.12,02/17/2019,Phase 2a,ANAB,,ANB020
0.97,02/28/2019,Phase 3,ACST,Early 2019;,CaPre
165.90,02/28/2019,Phase 2,VRTX,Early 2019;,VX-150
32.72,03/31/2019,Phase 3,AIMT,Early 2019;,AR101 ARTEMIS
61.37,03/31/2019,Phase 3,ASND,1Q 2019;,TransCon
4.26,03/31/2019,Phase 2,CLBS,Early 2019;,CLBS03
6.08,03/31/2019,Phase 3,CLSD,1Q 2019;,Suprachoroidal CLS-TA - SAPPHIRE
2.18,03/31/2019,Phase 3,CLSN,1Q 2019;,ThermoDox - OPTIMA
3.60,03/31/2019,Phase 3,CTXR,Early 2019;,Mino-Lok
7.38,03/31/2019,Phase 3,EVFM,1Q 2019;,Amphora - AMPOWER
36.84,03/31/2019,Phase 2b,GSK,1Q 2019;,Danirixin
19.87,03/31/2019,Phase 3,HALO,1Q 2019;,PEGPH20 - HALO-301
9.70,03/31/2019,Phase 1/2,IMRN,1Q 2019;,IMM-529
7.40,03/31/2019,Phase 2b,ORMP,Early 2019;,ORMD-0801
2.20,03/31/2019,Phase 3,PRTO,1Q 2019;,Vonapanitase (PRT-201) PATENCY-2
1.74,03/31/2019,Phase 2a,RNN,1Q 2019;,RX-3117 in combination with Abraxane
44.00,06/30/2019,Phase 1,ATRA,1H 2019;,ATA188
44.00,06/30/2019,Phase 3,ATRA,1H 2019;,ATA 129 - ALLELE
67.95,06/30/2019,Phase 3,BMY,1H 2019;,CM-714 Opdivo + Yervoy
67.95,06/30/2019,Phase 2,BMY,2H 2018 – 1H 2019;,CM-568 - Opdivo + Yervoy
4.89,06/30/2019,–,CMRX,1H 2019;,Oral Brincidofovir
5.15,06/30/2019,Phase 2,CNAT,1H 2019;,Emricasan
26.18,06/30/2019,Phase 2b,DERM,1H 2019;,Lebrikizumab
4.03,06/30/2019,Phase 2,FBIO,1H 2019;,CEVA101
62.85,06/30/2019,Phase 3,GBT,1H 2019;,GBT440 - HOPE
80.91,06/30/2019,Phase 2,GILD,1H 2019;,GS-9877
80.91,06/30/2019,Phase 3,GILD,2Q 2019;,F/TAF (Descovy)
1.02,06/30/2019,Phase 1/2,GNCA,1H 2019;,GEN-009
36.84,06/30/2019,Phase 3,GSK,1H 2019;,Tapinarof (GSK2894512)
36.84,06/30/2019,Phase 2b,GSK,1H 2019;,Inhaled PI3Kδ inhibitor (Nemiralisib)
62.04,06/30/2019,Phase 3,ICPT,1H 2019;,Ocaliva (Obeticholic acid (OCA)) - REGENERATE
5.55,06/30/2019,Phase 3,NERV,1H 2019;,MIN-101
6.74,06/30/2019,Phase 2,RARX,1H 2019;,RA101495
27.61,06/30/2019,Phase 3,RYTM,1H 2019;,Setmelanotide
29.56,06/30/2019,Phase 1/2,SLDB,1H 2019;,SGT-001
9.07,06/30/2019,Phase 1/2,SNDX,1H 2019;,Entinostat plus Tecentriq - ENCORE 603
2.02,06/30/2019,Phase 3,SNGX,1H 2019;,SGX942 (dusquetide)
15.98,06/30/2019,Phase 2b,SNNA,1H 2019;,SNA-120
11.51,06/30/2019,Phase 3,SVRA,2Q 2019;,Molgradex - IMPALA
27.95,06/30/2019,Phase 3,TBPH,2018/19;,Telavancin
14.05,06/30/2019,Phase 2/3,TGTX,1H 2019;,TG-1101 and TGR-1202 - UNITY-NHL study
1.18,06/30/2019,Phase 2,VTGN,1H 2019;,AV-101
27.95,07/31/2019,Phase 3,TBPH,Mid-2019;,Closed Triple - CAPTAIN
118.75,12/31/2019,Phase 3,ABBV,2019;,Venetoclax
2.96,12/31/2019,Phase 2,ACHN,2019;,ACH-4471
1.89,12/31/2019,Phase 1/2,ADXS,2019;,Axalimogene filolisbac + durvalumab
2.05,12/31/2019,Phase 2,AFMD,2019;,AFM13
162.09,12/31/2019,Phase 3,AGN,2019;,RAPASTINEL
15.23,12/31/2019,Phase 3,AKBA,2019;,Vadadustat - INNO2VATE
15.23,12/31/2019,Phase 3,AKBA,2019;,Vadadustat - PRO2TECT
22.17,12/31/2019,Phase 2,AKCA,2019;,AKCEA-ANGPTL3-LRx
22.17,12/31/2019,Phase 2b,AKCA,2019;,AKCEA-APOCIII-LRx
7.00,12/31/2019,Phase 3,ALNA,2H 2019;,ALLN-177
186.67,12/31/2019,Phase 3,AMGN,2019;,KYPROLIS (ARROW)
0.55,12/31/2019,Phase 3,ATNM,2H 2019;,Iomab-B
34.01,12/31/2019,Phase 3,AZN,2019;,Imfinzi + tremelimumab  (POSEIDON)
34.01,12/31/2019,Phase 3,AZN,2019;,Imfinzi + tremelimumab (CASPIAN)
34.01,12/31/2019,Phase 3,AZN,2019;,Imfinzi + tremelimumab  (DANUBE)
34.01,12/31/2019,Phase 3,AZN,2019;,Lynparza - SOLO 3
34.01,12/31/2019,Phase 3,AZN,2019;,Farxiga (Dapa-HF)
34.01,12/31/2019,Phase 3,AZN,2019;,Lanabecestat (AZD3293) - AMARANTH
34.01,12/31/2019,Phase 3,AZN,2019;,Durvalumab +/- tremelimumab (DANUBE)
34.01,12/31/2019,Phase 3,AZN,2019;,Brilinta (THEMIS)
3.12,12/31/2019,Phase 3,BCLI,Late 2019;,NurOwn
83.05,12/31/2019,Phase 3,BMRN,2H 2019;,Vosoritide
67.95,12/31/2019,Phase 3,BMY,2019;,CM-649 – Opdivo+ Yervoy or Chemo
67.95,12/31/2019,Phase 3,BMY,2H 2019;,CM-9LA Opdivo + Yervoy + Chemo
67.95,12/31/2019,Phase 3,BMY,2019;,CM-651 – Opdivo + Yervoy
95.61,12/31/2019,Phase 3,CELG,2019;,REVLIMID - MAGNIFY NHL-010
1.53,12/31/2019,Phase 3,CHMA,2019;,Mycapssa - OPTIMAL
5.15,12/31/2019,Phase 2b,CNAT,2019;,Emricasan
25.04,12/31/2019,Phase 3,DCPH,2019;,DCC-2618 - INVICTUS
80.91,12/31/2019,Phase 2,GILD,2H 2019;,GS-9876
36.84,12/31/2019,Phase 3,GSK,2019;,Mepolizumab - SYNAPSE
11.19,12/31/2019,Phase 3,IMGN,2019;,Kadcyla (KAITLIN)
1.79,12/31/2019,Phase 2b,IMMP,2019;,Eftilagimod Alpha  - Active Immunotherapy PAClitaxel (AIPAC)
9.70,12/31/2019,Phase 2,IMRN,2019;,IMM-124E
87.80,12/31/2019,Phase 3,INCY,2019;,Ruxolitinib - REACH 3
87.80,12/31/2019,Phase 3,INCY,2019;,Ruxolitinib - REACH 2
132.02,12/31/2019,Phase 3,JNJ,2019;,INVOKANA - CREDENCE
132.02,12/31/2019,Phase 3,JNJ,2019;,DARZALEX (Daratumumab)
10.39,12/31/2019,Phase 2,KALV,2H 2019;,KVD001
5.18,12/31/2019,Phase 1/2,KMDA,2H 2019;,Alpha-1 antitrypsin (AAT)
5.18,12/31/2019,Phase 2,KMDA,2H 2019;,Alpha-1 antitrypsin (AAT)
14.85,12/31/2019,Phase 2/3,KPTI,2019;,Selinexor - SEAL
14.85,12/31/2019,Phase 3,KPTI,2019;,Selinexor - BOSTON
8.27,12/31/2019,Phase 3,LXRX,2019;,Sotagliflozin
31.07,12/31/2019,–,MDCO,2H 2019;,Inclisiran - ORION 11
31.07,12/31/2019,Phase 3,MDCO,2H 2019;,Inclisiran - ORION-9
85.33,12/31/2019,Phase 3,NVS,2019;,QVM149
85.33,12/31/2019,Phase 3,NVS,2019;,QAW039 (fevipiprant)
85.33,12/31/2019,Phase 3,NVS,2019;,OMB157 (ofatumumab)
85.33,12/31/2019,Phase 3,NVS,2019;,Entresto - PARADISE
15.22,12/31/2019,Phase 3,OBSV,2H 2019;,OBE2109 - PRIMROSE 2
15.22,12/31/2019,Phase 3,OBSV,2H 2019;,OBE2109 - PRIMROSE
1.14,12/31/2019,Phase 3,ONTX,2019;,IV Rigosertib - INSPIRE
2.67,12/31/2019,Phase 2a,OPHT,2H 2019;,Zimura
0.97,12/31/2019,Phase 1/2,OVAS,2019;,OvaPrime
3.50,12/31/2019,Phase 1/2,PRQR,2019;,QR-421a
34.61,12/31/2019,Phase 3,PRTA,2H 2019;,NEOD001 VITAL
323.86,12/31/2019,Phase 2,REGN,2019;,Cemiplimab
24.20,12/31/2019,Phase 3,RETA,2H 2019;,Bardoxolone methyl - CARDINAL
24.20,12/31/2019,Phase 2,RETA,2H 2019;,Omaveloxolone - MOXIe
11.13,12/31/2019,Phase 2,SLGL,2019;,TWIN
11.13,12/31/2019,Phase 2,SLGL,2019;,VERED
5.28,12/31/2019,Phase 2,SLS,4Q 2019;,NeuVax in combination with Herceptin
40.13,12/31/2019,Phase 3,SNY,2019;,NeoGAA - COMET
40.13,12/31/2019,Phase 2/3,SNY,2019;,Olipudase alfa
3.89,12/31/2019,Phase 3,VBIV,2H 2019;,Sci-B-Vac - PROTECT
10.48,12/31/2019,Phase 2/3,ZYNE,2019;,ZYN002
15.23,02/29/2020,Phase 3,AKBA,Early 2020;,Vadadustat - TRILO2GY
1.89,06/30/2020,Phase 3,ADXS,2020/21;,Axalimogene filolisbac - AIM2CERV Trial
36.84,06/30/2020,Phase 2b,GSK,1H 2020;,GSK 165
16.16,06/30/2020,Phase 3,MNK,1H 2020;,Terlipressin
16.16,06/30/2020,Phase 2,MNK,1H 2020;,H.P. Acthar Gel
16.16,06/30/2020,Phase 3,MNK,1H 2020;,UVADEX (methoxsalen) and Therakos
34.73,06/30/2020,Phase 3,MNLO,1H 2020;,Serlopitant
162.09,12/31/2020,Phase 3,AGN,2020;,RELAMORELIN
34.01,12/31/2020,Phase 3,AZN,2020;,Farxiga (Dapa-CKD)
34.01,12/31/2020,Phase 3,AZN,2020;,Durvalumab (ADJUVANT)
292.78,12/31/2020,Phase 3,BIIB,2020;,Aducanumab (Aβ mAb) - EMERGE
292.78,12/31/2020,Phase 3,BIIB,2020;,Aducanumab (Aβ mAb) - ENGAGE
0.99,12/31/2020,Phase 3,BLRX,2020;,BL-8040 GENESIS
1.74,12/31/2020,Phase 3,CATB,2020;,Edasalonexent (CAT-1004)
95.61,12/31/2020,Phase 3,CELG,2020;,REVLIMID - MAGNIFY NHL-008
1.53,12/31/2020,Phase 3,CHMA,2020;,Mycapssa - MPOWERED
7.70,12/31/2020,Phase 3,CRBP,2020;,Anabasum (Resunab)
36.84,12/31/2020,Phase 3,GSK,2H 2020;,Daprodustat - ASCEND-D
5.38,12/31/2020,Phase 2,KZIA,2020;,GDC-0084
19.30,12/31/2020,Phase 3,NVCR,2020;,Tumor Treating Fields (TTFields) METIS
28.17,12/31/2020,Phase 3,ODT,2020;,Tesetaxel - CONTESSA
2.67,12/31/2020,Phase 2b,OPHT,2020;,Zimura
40.13,12/31/2020,Phase 3,SNY,2020;,Efpeglenatide
19.30,12/31/2021,Phase 3,NVCR,2021;,Tumor Treating Fields (TTFields) LUNAR
323.86,12/31/2021,Phase 3,REGN,2021;,Cemiplimab
323.86,12/31/2021,Phase 3,REGN,2021;,Dupixent (dupilumab)
11.13,12/31/2021,Phase 2,SLGL,2021;,SIRS-T
19.30,12/31/2022,Phase 3,NVCR,2022;,Tumor Treating Fields (TTFields) -  PANOVA 3
85.33,12/31/2022,Phase 3,NVS,2022;,Cosentyx (secukinumab) - SURPASS
85.33,12/31/2024,Phase 2/3,NVS,2024;,CNP 520
