date,drug,ticker,stage
12/31/2018,AV-101,VTGN,Phase 2
12/31/2018,XBIO-101,XBIT,Phase 2
12/31/2018,XmAb5871,XNCR,Phase 2
03/31/2019,Suprachoroidal CLS-TA - SAPPHIRE,CLSD,Phase 3
03/31/2019,ThermoDox - OPTIMA,CLSN,Phase 3
03/31/2019,Danirixin,GSK,Phase 2b
03/31/2019,Vonapanitase (PRT-201) PATENCY-2,PRTO,Phase 3
06/30/2019,ABBV-8E12,ABBV,Phase 2
06/30/2019,Iomab-B,ATNM,Phase 3
06/30/2019,CM-568 - Opdivo + Yervoy,BMY,Phase 2
06/30/2019,Emricasan,CNAT,Phase 2
06/30/2019,CEVA101,FBIO,Phase 2
06/30/2019,GBT440 - HOPE,GBT,Phase 3
06/30/2019,Tapinarof,GSK,Phase 3
06/30/2019,Inhaled PI3Kδ inhibitor,GSK,Phase 2b
06/30/2019,Ocaliva (Obeticholic acid (OCA)) - REGENERATE,ICPT,Phase 3
06/30/2019,Setmelanotide,RYTM,Phase 3
06/30/2019,Entinostat plus Tecentriq - ENCORE 603,SNDX,Phase 1/2
06/30/2019,SNA-120,SNNA,Phase 2b
06/30/2019,Telavancin,TBPH,Phase 3
07/31/2019,Vadadustat - INNO2VATE,AKBA,Phase 3
07/31/2019,Vadadustat - PRO2TECT,AKBA,Phase 3
10/31/2019,Fitusiran (ATLAS),ALNY,Phase 3
12/31/2019,Venetoclax,ABBV,Phase 3
12/31/2019,AFM13,AFMD,Phase 2
12/31/2019,RAPASTINEL,AGN,Phase 3
12/31/2019,ANB020,ANAB,Phase 2b
12/31/2019,AZD3293,AZN,Phase 3
12/31/2019,NurOwn,BCLI,Phase 3
12/31/2019,Valoctocogene roxaparvovec (BMN 270),BMRN,Phase 3
12/31/2019,Vosoritide,BMRN,Phase 3
12/31/2019,REVLIMID - MAGNIFY NHL-010,CELG,Phase 3
12/31/2019,Mycapssa - OPTIMAL,CHMA,Phase 3
12/31/2019,Emricasan,CNAT,Phase 2b
12/31/2019,Anabasum (Resunab),CRBP,Phase 3
12/31/2019,NeuVax in combination with Herceptin,GALE,Phase 2
12/31/2019,Mepolizumab - SYNAPSE,GSK,Phase 3
12/31/2019,Kadcyla (KAITLIN),IMGN,Phase 3
12/31/2019,INVOKANA - CREDENCE,JNJ,Phase 3
12/31/2019,DARZALEX (Daratumumab),JNJ,Phase 3
12/31/2019,Selinexor - SEAL,KPTI,Phase 2/3
12/31/2019,Selinexor - BOSTON,KPTI,Phase 3
12/31/2019,AZD3293,LLY,Phase 3
12/31/2019,Inclisiran,MDCO,Phase 3
12/31/2019,MK-8931 (019) - Verubecestat,MRK,Phase 3
12/31/2019,QAW039 (fevipiprant),NVS,Phase 3
12/31/2019,OMB157 (ofatumumab),NVS,Phase 3
12/31/2019,Entresto - PARADISE,NVS,Phase 3
12/31/2019,OBE2109 - PRIMROSE,OBSV,Phase 3
12/31/2019,Bardoxolone methyl - CARDINAL,RETA,Phase 3
12/31/2019,Omaveloxolone - MOXIe,RETA,Phase 2
06/30/2020,ABBV-8E12,ABBV,Phase 2
06/30/2020,Axalimogene filolisbac - AIM2CERV Trial,ADXS,Phase 3
12/31/2020,RELAMORELIN,AGN,Phase 3
12/31/2020,Edasalonexent (CAT-1004),CATB,Phase 3
12/31/2020,REVLIMID - MAGNIFY NHL-008,CELG,Phase 3
12/31/2020,Mycapssa - MPOWERED,CHMA,Phase 3
12/31/2020,Daprodustat - ASCEND-D,GSK,Phase 3
12/31/2020,Ruxolitinib - REACH 2,INCY,Phase 3
12/31/2020,Tumor Treating Fields (TTFields) METIS,NVCR,Phase 3
12/31/2020,Ruxolitinib - REACH 2,NVS,Phase 3
12/31/2020,XTANDI,PFE,Phase 3
06/30/2021,XTANDI (EMBARK),PFE,Phase 3
12/31/2021,Tumor Treating Fields (TTFields) LUNAR,NVCR,Phase 3
12/31/2023,CNP 520,AMGN,Phase 2/3
12/31/2023,CNP 520,NVS,Phase 2/3
