date,drug,stage,ticker
12/31/2019,ANB020,Phase 2b,ANAB
12/31/2019,AZD3293,Phase 3,AZN
12/31/2019,Durvalumab +/- tremelimumab (DANUBE),Phase 3,AZN
12/31/2019,Brilinta (THEMIS),Phase 3,AZN
12/31/2019,NurOwn,Phase 3,BCLI
12/31/2019,Valoctocogene roxaparvovec (BMN 270),Phase 3,BMRN
12/31/2019,Vosoritide,Phase 3,BMRN
12/31/2019,REVLIMID - MAGNIFY NHL-010,Phase 3,CELG
12/31/2019,Mycapssa - OPTIMAL,Phase 3,CHMA
12/31/2019,Emricasan,Phase 2b,CNAT
12/31/2019,Anabasum (Resunab),Phase 3,CRBP
12/31/2019,NeuVax in combination with Herceptin,Phase 2,GALE
12/31/2019,Mepolizumab - SYNAPSE,Phase 3,GSK
12/31/2019,Kadcyla (KAITLIN),Phase 3,IMGN
12/31/2019,Ruxolitinib - REACH 3,Phase 3,INCY
12/31/2019,INVOKANA - CREDENCE,Phase 3,JNJ
12/31/2019,DARZALEX (Daratumumab),Phase 3,JNJ
12/31/2019,Selinexor - SEAL,Phase 2/3,KPTI
12/31/2019,Selinexor - BOSTON,Phase 3,KPTI
12/31/2019,Inclisiran,Phase 3,MDCO
12/31/2019,MK-8931 (019) - Verubecestat,Phase 3,MRK
12/31/2019,QAW039 (fevipiprant),Phase 3,NVS
12/31/2019,OMB157 (ofatumumab),Phase 3,NVS
12/31/2019,Entresto - PARAGON,Phase 3,NVS
12/31/2019,Entresto - PARADISE,Phase 3,NVS
12/31/2019,AIN457 (Cosentyx),Phase 3,NVS
12/31/2019,OBE2109 - PRIMROSE,Phase 3,OBSV
12/31/2019,Bardoxolone methyl - CARDINAL,Phase 3,RETA
12/31/2019,Omaveloxolone - MOXIe,Phase 2,RETA
06/30/2020,ABBV-8E12,Phase 2,ABBV
06/30/2020,Axalimogene filolisbac - AIM2CERV Trial,Phase 3,ADXS
12/31/2020,RELAMORELIN,Phase 3,AGN
12/31/2020,Durvalumab (ADJUVANT),Phase 3,AZN
12/31/2020,Edasalonexent (CAT-1004),Phase 3,CATB
12/31/2020,REVLIMID - MAGNIFY NHL-008,Phase 3,CELG
12/31/2020,Mycapssa - MPOWERED,Phase 3,CHMA
12/31/2020,Daprodustat - ASCEND-D,Phase 3,GSK
12/31/2020,Ruxolitinib - REACH 2,Phase 3,INCY
12/31/2020,Tumor Treating Fields (TTFields) METIS,Phase 3,NVCR
12/31/2020,Ruxolitinib - REACH 2,Phase 3,NVS
12/31/2020,XTANDI,Phase 3,PFE
12/31/2020,NEOD001 VITAL,Phase 3,PRTA
06/30/2021,XTANDI (EMBARK),Phase 3,PFE
12/31/2021,Tumor Treating Fields (TTFields) LUNAR,Phase 3,NVCR
12/31/2023,CNP 520,Phase 2/3,NVS
