price,stage,end_date,drug,date_text,ticker
1.01,Phase 2b,12/31/2018,BL-8040,2018;,BLRX
68.96,Phase 3,12/31/2018,CM-602 – Opdivo + Elo + SOC,2H 2018;,BMY
68.96,Phase 3,12/31/2018,CM-459 – Opdivo,2H 2018;,BMY
68.96,Phase 3,12/31/2018,CM-451 – Opdivo + Yervoy,2H 2018;,BMY
26.50,Phase 3,12/31/2018,Plinabulin,2018;,BYSI
2.03,Phase 2,12/31/2018,Namodenoson (CF102),2H 2018;,CANF
9.99,Phase 2,12/31/2018,Tucatinib - MOUNTAINEER,2018;,CASC
95.26,Phase 3,12/31/2018,OTEZLA - SPSO-001,2018;,CELG
95.26,Phase 3,12/31/2018,REVLIMID - ROBUST,2018;,CELG
95.26,Phase 3,12/31/2018,Oral Azacitidine - CC-486-AML-001,2H 2018;,CELG
95.26,Phase 3,12/31/2018,ABRAXANE - PANC-003 apact,2018;,CELG
95.26,Phase 3,12/31/2018,ABRAXANE - IMpower 130 ( I/O Combo),2018;,CELG
95.26,Phase 3,12/31/2018,ABRAXANE - IMpower 131 ( I/O Combo),2018;,CELG
95.26,Phase 3,12/31/2018,ABRAXANE - IMPassion ( I/O Combo),2018;,CELG
1.65,Phase 2,12/31/2018,CF-301,4Q 2018;,CFRX
5.02,Phase 2,12/31/2018,IV Brincidofovir,2H 2018;,CMRX
10.00,Phase 2,12/31/2018,CX-2009 - PROCLAIM,2H 2018;,CMTX
5.12,Phase 2,12/31/2018,Emricasan,2H 2018;,CNAT
21.48,Phase 2a,12/31/2018,CTP-543,4Q 2018;,CNCE
27.85,Phase 1/2,12/31/2018,CX 2009,2H 2018;,CTMX
8.03,Phase 2,12/31/2018,CK-2127107 - FORTITUDE-ALS,2H 2018;,CYTK
8.03,Phase 2,12/31/2018,CK-2127107,2H 2018;,CYTK
29.71,Phase 1,12/31/2018,DCC-3014,2H 2018;,DCPH
64.78,Phase 3,12/31/2018,Fulvestrant,4Q 2018;,EGRX
8.65,Phase 2,12/31/2018,Ubenimex - ULTRA,2H 2018;,EIGR
18.15,Phase 2,12/31/2018,Tazemetostat,2018;,EPZM
74.92,Phase 3,12/31/2018,Bempedoic Acid/ Ezetimibe (1002FDC-053),4Q 2018;,ESPR
56.50,Phase 3,12/31/2018,Roxadustat - ANDES,2H 2018;,FGEN
4.30,Phase 2,12/31/2018,FLX-787,2018;,FLKS
23.19,Phase 2,12/31/2018,Zilretta - SHIP,2H 2018;,FLXN
6.60,Phase 2,12/31/2018,Gemcabene - AZURE-1,2H 2018;,GEMP
80.70,Phase 2,12/31/2018,Tirabrutinib (GS-4059),4Q 2018;,GILD
80.70,Phase 2,12/31/2018,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2),2H 2018;,GILD
25.01,Phase 3,12/31/2018,GMI-1070 (rivipansel),2018;,GLYC
37.70,Phase 3,12/31/2018,Dolutegravir + rilpivirine,2H 2018;,GSK
19.69,Phase 2,12/31/2018,Trilaciclib,4Q 2018;,GTHX
15.55,Phase 2,12/31/2018,Enobosarm,YE 2018;,GTXI
131.01,Phase 3,12/31/2018,Epidiolex,2H 2018;,GWPH
131.01,Phase 3,12/31/2018,Epidiolex,2H 2018;,GWPH
18.54,Phase 3,12/31/2018,PEGPH20 - HALO-301,Late 4Q 2018;,HALO
18.54,Phase 1b,12/31/2018,PEGPH20 in combination with KEYTRUDA,2018;,HALO
11.27,Phase 3,12/31/2018,Kadcyla (KATHERINE).,2018;,IMGN
8.01,Phase 2,12/31/2018,IMM-124E,4Q 2018;,IMRN
8.01,Phase 1/2,12/31/2018,IMM-529,4Q 2018;,IMRN
86.03,Phase 2,12/31/2018,INCB54828 (FIGHT-202),2018;,INCY
7.79,Phase 2,12/31/2018,Cannabidiol,YE 2018;,INSY
133.15,Phase 3,12/31/2018,STELARA (USTEKINUMAB),2018;,JNJ
85.10,Phase 1,12/31/2018,JCARH125,2018;,JUNO
14.98,Phase 2b,12/31/2018,Selinexor - SADAL,2H 2018;,KPTI
78.97,Phase 3,12/31/2018,Ramucirumab,2018;,LLY
78.97,Phase 3,12/31/2018,Ramucirumab,2018;,LLY
78.97,Phase 3,12/31/2018,Empagliflozin,2018;,LLY
78.97,Phase 3,12/31/2018,Ixekizumab,2018;,LLY
78.97,–,12/31/2018,Tradjenta (linagliptin) - CARMELINA CV outcomes,2018;,LLY
78.97,Phase 3,12/31/2018,Ultra rapid insulin,2018;,LLY
78.97,Phase 3,12/31/2018,Tanezumab,2018;,LLY
78.97,Phase 3,12/31/2018,Ramucirumab,2018;,LLY
78.97,Phase 3,12/31/2018,Flortaucipir F 18 (Tau imaging agent),2018;,LLY
10.82,Phase 2,12/31/2018,MM-121 (SHERBOC),2H 2018;,MACK
10.82,Phase 2,12/31/2018,MM-121,2H 2018;,MACK
2.07,Phase 1/2,12/31/2018,Annamycin,2018;,MBRX
34.88,Phase 2,12/31/2018,Serlopitant,Late 2018 or early 2019;,MNLO
34.88,Phase 2,12/31/2018,Serlopitant,Late 2018 or early 2019;,MNLO
6.22,Phase 2,12/31/2018,Ganaxolone,2018;,MRNS
56.30,Phase 1b,12/31/2018,MYK-491,2H 2018;,MYOK
85.25,Phase 2b,12/31/2018,INGREZZA - T-Force GOLD,Late-2018;,NBIX
19.87,Phase 1,12/31/2018,NUC-3373,2018;,NCNA
19.87,Phase 2,12/31/2018,NUC-1031 (Acelarin),2018;,NCNA
10.45,Phase 1/2,12/31/2018,NSR-RPGR,2018;,NITE
2.34,Phase 3,12/31/2018,RSV vaccine - prepare trial,4Q 2018 or 1Q 2019;,NVAX
21.50,Phase 2,12/31/2018,Tumor Treating Fields (TTFields) STELLAR,2018;,NVCR
86.91,Phase 3,12/31/2018,BYL719,2H 2018;,NVS
86.91,Phase 2,12/31/2018,LIK066,2H 2018;,NVS
86.91,Phase 3,12/31/2018,Entresto - PARAGON,2H 2018;,NVS
14.13,Phase 2a,12/31/2018,OBE022 - PROLONG,YE 2018;,OBSV
4.91,Phase 3,12/31/2018,OTX-TP,2H 2018;,OCUL
1.81,Phase 2b,12/31/2018,ImmunoPulse IL-12 - PISCES,2018;,ONCS
7.04,Phase 2,12/31/2018,OV101 (STARS),2H 2018;,OVID
8.63,Phase 2a,12/31/2018,PRS-080,2H 2018;,PIRS
3.50,Phase 1/2,12/31/2018,QR-010,2018;,PRQR
1.48,Phase 2a,12/31/2018,PUR1800,4Q 2018;,PULM
24.62,Phase 3,12/31/2018,AMT-061,YE 2018;,QURE
47.12,Phase 1/2,12/31/2018,DTX301,2H 2018;,RARE
6.12,Phase 3,12/31/2018,RHB-105 - ERADICATE Hp 2,2H 2018;,RDHL
332.15,Phase 2,12/31/2018,Cemiplimab,2H 2018;,REGN
332.15,Phase 3,12/31/2018,Dupixent (dupilumab),4Q 2018;,REGN
26.73,Phase 3,12/31/2018,Bardoxolone methyl - CATALYST,2H 2018;,RETA
26.85,Phase 1/2,12/31/2018,RGX-501,Late 2018;,RGNX
3.87,Phase 2,12/31/2018,Fostamatinib,2018;,RIGL
31.20,Phase 3,12/31/2018,"RT002 - SAKURA 1, 2 and 3",2H 2018;,RVNC
162.37,Phase 2,12/31/2018,SAGE-217,4Q 2018;,SAGE
6.80,Phase 3,12/31/2018,COR-003 (levoketoconazole) - LOGICS,4Q 2018;,SBBP
1.73,Phase 3,12/31/2018,SCY-078 - oral - CARES,4Q 2018;,SCYX
1.73,Phase 3,12/31/2018,SCY-078 - oral (FURI),4Q 2018;,SCYX
54.48,Phase 3,12/31/2018,ADCETRIS in combination with chemotherapy - ECHELON-2,2018;,SGEN
23.30,Phase 1/2,12/31/2018,SB-FIX,2018;,SGMO
2.05,Phase 3,12/31/2018,SGX301 (synthetic hypericin),2H 2018;,SNGX
15.00,Phase 3,12/31/2018,SNA-001,2H 2018;,SNNA
15.00,Phase 3,12/31/2018,SNA-001,2H 2018;,SNNA
39.91,Phase 3,12/31/2018,Isatuximab,4Q 2018;,SNY
21.16,Phase 3,12/31/2018,SPI-2012 (ROLONTIS),2H 2018;,SPPI
64.00,Phase 1/2,12/31/2018,Microdystrophin gene therapy rAAVrh74.MCK.GALGT2,2H 2018;,SRPT
64.00,Phase 1/2,12/31/2018,GALGT2 gene therapy,2H 2018;,SRPT
10.98,Phase 1,12/31/2018,SYNB1618,2H 2018;,SYBX
10.98,Phase 1/2,12/31/2018,SYNB1020,YE 2018;,SYBX
2.20,Phase 2,12/31/2018,TRC105,2018;,TCON
2.20,Phase 2,12/31/2018,TRC102,2018;,TCON
2.20,Phase 3,12/31/2018,TRC105 (TAPPAS),2H 2018;,TCON
18.76,Phase 2b,12/31/2018,RTB101 and Everolimus,2H 2018;,TORC
60.00,Phase 1/2,12/31/2018,Niraparib - AVANOVA,2H 2018;,TSRO
3.50,Phase 2,12/31/2018,SM-88,2H 2018;,TYME
134.93,Phase 3,12/31/2018,Esuberaprost - BEAT,2018;,UTHR
134.93,Phase 3,12/31/2018,Orenitram,2H 2018;,UTHR
17.10,Phase 2,12/31/2018,Tradipitant,YE 2018;,VNDA
17.10,Phase 3,12/31/2018,HETLIOZ (tasimelteon),YE 2018;,VNDA
1.26,Phase 2,12/31/2018,AV-101,2H 2018;,VTGN
4.69,Phase 2,12/31/2018,XBIO-101,YE 2018;,XBIT
25.40,Phase 2,12/31/2018,XmAb5871,4Q 2018;,XNCR
15.40,Phase 3,12/31/2018,Dasiglucagon,2H 2018;,ZEAL
126.45,Phase 2a,02/17/2019,ANB020,,ANAB
1.04,Phase 3,02/28/2019,CaPre,Early 2019;,ACST
160.72,Phase 2,02/28/2019,VX-150,Early 2019;,VRTX
37.20,Phase 3,03/31/2019,AR101 ARTEMIS,Early 2019;,AIMT
55.81,Phase 3,03/31/2019,TransCon,1Q 2019;,ASND
3.93,Phase 2,03/31/2019,CLBS03,Early 2019;,CLBS
6.44,Phase 3,03/31/2019,Suprachoroidal CLS-TA - SAPPHIRE,1Q 2019;,CLSD
2.20,Phase 3,03/31/2019,ThermoDox - OPTIMA,1Q 2019;,CLSN
3.78,Phase 3,03/31/2019,Mino-Lok,Early 2019;,CTXR
7.29,Phase 3,03/31/2019,Amphora - AMPOWER,1Q 2019;,EVFM
37.70,Phase 2b,03/31/2019,Danirixin,1Q 2019;,GSK
8.01,Phase 1/2,03/31/2019,IMM-529,1Q 2019;,IMRN
7.54,Phase 2b,03/31/2019,ORMD-0801,Early 2019;,ORMP
2.10,Phase 3,03/31/2019,Vonapanitase (PRT-201) PATENCY-2,1Q 2019;,PRTO
1.78,Phase 2a,03/31/2019,RX-3117 in combination with Abraxane,1Q 2019;,RNN
45.40,Phase 1,06/30/2019,ATA188,1H 2019;,ATRA
45.40,Phase 3,06/30/2019,ATA 129 - ALLELE,1H 2019;,ATRA
68.96,Phase 3,06/30/2019,CM-714 Opdivo + Yervoy,1H 2019;,BMY
68.96,Phase 2,06/30/2019,CM-568 - Opdivo + Yervoy,2H 2018 – 1H 2019;,BMY
5.02,–,06/30/2019,Oral Brincidofovir,1H 2019;,CMRX
5.12,Phase 2,06/30/2019,Emricasan,1H 2019;,CNAT
27.49,Phase 2b,06/30/2019,Lebrikizumab,1H 2019;,DERM
3.51,Phase 2,06/30/2019,CEVA101,1H 2019;,FBIO
62.95,Phase 3,06/30/2019,GBT440 - HOPE,1H 2019;,GBT
80.70,Phase 2,06/30/2019,GS-9877,1H 2019;,GILD
80.70,Phase 3,06/30/2019,F/TAF (Descovy),2Q 2019;,GILD
1.00,Phase 1/2,06/30/2019,GEN-009,1H 2019;,GNCA
37.70,Phase 3,06/30/2019,Tapinarof (GSK2894512),1H 2019;,GSK
37.70,Phase 2b,06/30/2019,Inhaled PI3Kδ inhibitor (Nemiralisib),1H 2019;,GSK
61.16,Phase 3,06/30/2019,Ocaliva (Obeticholic acid (OCA)) - REGENERATE,1H 2019;,ICPT
5.45,Phase 3,06/30/2019,MIN-101,1H 2019;,NERV
6.83,Phase 2,06/30/2019,RA101495,1H 2019;,RARX
26.26,Phase 3,06/30/2019,Setmelanotide,1H 2019;,RYTM
24.93,Phase 1/2,06/30/2019,SGT-001,1H 2019;,SLDB
9.48,Phase 1/2,06/30/2019,Entinostat plus Tecentriq - ENCORE 603,1H 2019;,SNDX
2.05,Phase 3,06/30/2019,SGX942 (dusquetide),1H 2019;,SNGX
15.00,Phase 2b,06/30/2019,SNA-120,1H 2019;,SNNA
12.39,Phase 3,06/30/2019,Molgradex - IMPALA,2Q 2019;,SVRA
29.26,Phase 3,06/30/2019,Telavancin,2018/19;,TBPH
12.20,Phase 2/3,06/30/2019,TG-1101 and TGR-1202 - UNITY-NHL study,1H 2019;,TGTX
1.26,Phase 2,06/30/2019,AV-101,1H 2019;,VTGN
29.26,Phase 3,07/31/2019,Closed Triple - CAPTAIN,Mid-2019;,TBPH
118.60,Phase 3,12/31/2019,Venetoclax,2019;,ABBV
2.51,Phase 1/2,12/31/2019,Axalimogene filolisbac + durvalumab,2019;,ADXS
2.20,Phase 2,12/31/2019,AFM13,2019;,AFMD
164.04,Phase 3,12/31/2019,RAPASTINEL,2019;,AGN
14.14,Phase 3,12/31/2019,Vadadustat - INNO2VATE,2019;,AKBA
14.14,Phase 3,12/31/2019,Vadadustat - PRO2TECT,2019;,AKBA
21.88,Phase 2,12/31/2019,AKCEA-ANGPTL3-LRx,2019;,AKCA
21.88,Phase 2b,12/31/2019,AKCEA-APOCIII-LRx,2019;,AKCA
7.31,Phase 3,12/31/2019,ALLN-177,2H 2019;,ALNA
183.55,Phase 3,12/31/2019,KYPROLIS (ARROW),2019;,AMGN
0.59,Phase 3,12/31/2019,Iomab-B,2H 2019;,ATNM
33.93,Phase 3,12/31/2019,Imfinzi + tremelimumab  (POSEIDON),2019;,AZN
33.93,Phase 3,12/31/2019,Imfinzi + tremelimumab (CASPIAN),2019;,AZN
33.93,Phase 3,12/31/2019,Imfinzi + tremelimumab  (DANUBE),2019;,AZN
33.93,Phase 3,12/31/2019,Lynparza - SOLO 3,2019;,AZN
33.93,Phase 3,12/31/2019,Farxiga (Dapa-HF),2019;,AZN
33.93,Phase 3,12/31/2019,Lanabecestat (AZD3293) - AMARANTH,2019;,AZN
33.93,Phase 3,12/31/2019,Durvalumab +/- tremelimumab (DANUBE),2019;,AZN
33.93,Phase 3,12/31/2019,Brilinta (THEMIS),2019;,AZN
3.19,Phase 3,12/31/2019,NurOwn,Late 2019;,BCLI
84.98,Phase 3,12/31/2019,Vosoritide,2H 2019;,BMRN
68.96,Phase 3,12/31/2019,CM-649 – Opdivo+ Yervoy or Chemo,2019;,BMY
68.96,Phase 3,12/31/2019,CM-9LA Opdivo + Yervoy + Chemo,2H 2019;,BMY
68.96,Phase 3,12/31/2019,CM-651 – Opdivo + Yervoy,2019;,BMY
95.26,Phase 3,12/31/2019,REVLIMID - MAGNIFY NHL-010,2019;,CELG
1.55,Phase 3,12/31/2019,Mycapssa - OPTIMAL,2019;,CHMA
5.12,Phase 2b,12/31/2019,Emricasan,2019;,CNAT
29.71,Phase 3,12/31/2019,DCC-2618 - INVICTUS,2019;,DCPH
80.70,Phase 2,12/31/2019,GS-9876,2H 2019;,GILD
37.70,Phase 3,12/31/2019,Mepolizumab - SYNAPSE,2019;,GSK
11.27,Phase 3,12/31/2019,Kadcyla (KAITLIN),2019;,IMGN
1.79,Phase 2b,12/31/2019,Eftilagimod Alpha  - Active Immunotherapy PAClitaxel (AIPAC),2019;,IMMP
8.01,Phase 2,12/31/2019,IMM-124E,2019;,IMRN
86.03,Phase 3,12/31/2019,Ruxolitinib - REACH 3,2019;,INCY
86.03,Phase 3,12/31/2019,Ruxolitinib - REACH 2,2019;,INCY
133.15,Phase 3,12/31/2019,INVOKANA - CREDENCE,2019;,JNJ
133.15,Phase 3,12/31/2019,DARZALEX (Daratumumab),2019;,JNJ
11.20,Phase 2,12/31/2019,KVD001,2H 2019;,KALV
5.25,Phase 1/2,12/31/2019,Alpha-1 antitrypsin (AAT),2H 2019;,KMDA
5.25,Phase 2,12/31/2019,Alpha-1 antitrypsin (AAT),2H 2019;,KMDA
14.98,Phase 2/3,12/31/2019,Selinexor - SEAL,2019;,KPTI
14.98,Phase 3,12/31/2019,Selinexor - BOSTON,2019;,KPTI
7.86,Phase 3,12/31/2019,Sotagliflozin,2019;,LXRX
33.16,–,12/31/2019,Inclisiran - ORION 11,2H 2019;,MDCO
86.91,Phase 3,12/31/2019,QVM149,2019;,NVS
86.91,Phase 3,12/31/2019,QAW039 (fevipiprant),2019;,NVS
86.91,Phase 3,12/31/2019,OMB157 (ofatumumab),2019;,NVS
86.91,Phase 3,12/31/2019,Entresto - PARADISE,2019;,NVS
14.13,Phase 3,12/31/2019,OBE2109 - PRIMROSE 2,2H 2019;,OBSV
14.13,Phase 3,12/31/2019,OBE2109 - PRIMROSE,2H 2019;,OBSV
1.07,Phase 3,12/31/2019,IV Rigosertib - INSPIRE,2019;,ONTX
2.86,Phase 2a,12/31/2019,Zimura,2H 2019;,OPHT
0.96,Phase 1/2,12/31/2019,OvaPrime,2019;,OVAS
3.50,Phase 1/2,12/31/2019,QR-421a,2019;,PRQR
33.20,Phase 3,12/31/2019,NEOD001 VITAL,2H 2019;,PRTA
332.15,Phase 2,12/31/2019,Cemiplimab,2019;,REGN
26.73,Phase 3,12/31/2019,Bardoxolone methyl - CARDINAL,2H 2019;,RETA
26.73,Phase 2,12/31/2019,Omaveloxolone - MOXIe,2H 2019;,RETA
11.28,Phase 2,12/31/2019,TWIN,2019;,SLGL
11.28,Phase 2,12/31/2019,VERED,2019;,SLGL
5.50,Phase 2,12/31/2019,NeuVax in combination with Herceptin,4Q 2019;,SLS
39.91,Phase 3,12/31/2019,NeoGAA - COMET,2019;,SNY
39.91,Phase 2/3,12/31/2019,Olipudase alfa,2019;,SNY
3.76,Phase 3,12/31/2019,Sci-B-Vac - PROTECT,2H 2019;,VBIV
11.14,Phase 2/3,12/31/2019,ZYN002,2019;,ZYNE
14.14,Phase 3,02/29/2020,Vadadustat - TRILO2GY,Early 2020;,AKBA
2.51,Phase 3,06/30/2020,Axalimogene filolisbac - AIM2CERV Trial,2020/21;,ADXS
37.70,Phase 2b,06/30/2020,GSK 165,1H 2020;,GSK
16.80,Phase 3,06/30/2020,Terlipressin,1H 2020;,MNK
16.80,Phase 2,06/30/2020,H.P. Acthar Gel,1H 2020;,MNK
16.80,Phase 3,06/30/2020,UVADEX (methoxsalen) and Therakos,1H 2020;,MNK
34.88,Phase 3,06/30/2020,Serlopitant,1H 2020;,MNLO
164.04,Phase 3,12/31/2020,RELAMORELIN,2020;,AGN
33.93,Phase 3,12/31/2020,Farxiga (Dapa-CKD),2020;,AZN
33.93,Phase 3,12/31/2020,Durvalumab (ADJUVANT),2020;,AZN
291.87,Phase 3,12/31/2020,Aducanumab (Aβ mAb) - EMERGE,2020;,BIIB
291.87,Phase 3,12/31/2020,Aducanumab (Aβ mAb) - ENGAGE,2020;,BIIB
1.01,Phase 3,12/31/2020,BL-8040 GENESIS,2020;,BLRX
1.60,Phase 3,12/31/2020,Edasalonexent (CAT-1004),2020;,CATB
95.26,Phase 3,12/31/2020,REVLIMID - MAGNIFY NHL-008,2020;,CELG
1.55,Phase 3,12/31/2020,Mycapssa - MPOWERED,2020;,CHMA
7.95,Phase 3,12/31/2020,Anabasum (Resunab),2020;,CRBP
37.70,Phase 3,12/31/2020,Daprodustat - ASCEND-D,2H 2020;,GSK
4.25,Phase 2,12/31/2020,GDC-0084,2020;,KZIA
21.50,Phase 3,12/31/2020,Tumor Treating Fields (TTFields) METIS,2020;,NVCR
24.95,Phase 3,12/31/2020,Tesetaxel - CONTESSA,2020;,ODT
2.86,Phase 2b,12/31/2020,Zimura,2020;,OPHT
39.91,Phase 3,12/31/2020,Efpeglenatide,2020;,SNY
21.50,Phase 3,12/31/2021,Tumor Treating Fields (TTFields) LUNAR,2021;,NVCR
332.15,Phase 3,12/31/2021,Cemiplimab,2021;,REGN
332.15,Phase 3,12/31/2021,Dupixent (dupilumab),2021;,REGN
11.28,Phase 2,12/31/2021,SIRS-T,2021;,SLGL
86.91,Phase 3,12/31/2022,Cosentyx (secukinumab) - SURPASS,2022;,NVS
86.91,Phase 2/3,12/31/2024,CNP 520,2024;,NVS
