drug,ticker,stage,end_date,date_text,price
Oral Azacitidine - CC-486-AML-001,CELG,Phase 3,12/31/2018,2018;,102.65
ABRAXANE - PANC-003 apact,CELG,Phase 3,12/31/2018,YE 2018;,102.65
ABRAXANE - IMpower 130 ( I/O Combo),CELG,Phase 3,12/31/2018,2018;,102.65
ABRAXANE - IMpower 131 ( I/O Combo),CELG,Phase 3,12/31/2018,2018;,102.65
ABRAXANE - IMPassion ( I/O Combo),CELG,Phase 3,12/31/2018,2018;,102.65
CF-301,CFRX,Phase 2,12/31/2018,4Q 2018;,1.12
IV Brincidofovir,CMRX,Phase 2,12/31/2018,2H 2018;,4.93
CX-2009 - PROCLAIM,CMTX,Phase 2,12/31/2018,2H 2018;,10.00
Emricasan,CNAT,Phase 2,12/31/2018,2H 2018;,4.71
CTP-543,CNCE,Phase 2a,12/31/2018,2H 2018;,19.61
CX 2009,CTMX,Phase 1/2,12/31/2018,2H 2018;,25.55
DCC-3014,DCPH,Phase 1,12/31/2018,2H 2018;,27.47
Fulvestrant,EGRX,Phase 3,12/31/2018,4Q 2018;,58.84
Ubenimex - ULTRA,EIGR,Phase 2,12/31/2018,2H 2018;,8.85
Tazemetostat,EPZM,Phase 2,12/31/2018,2018;,15.25
Bempedoic Acid/ Ezetimibe (1002FDC-053),ESPR,Phase 3,12/31/2018,4Q 2018;,77.20
Amphora - AMPOWER,EVFM,Phase 3,12/31/2018,4Q 2018;,11.68
Roxadustat - ANDES,FGEN,Phase 3,12/31/2018,2018;,47.85
FLX-787,FLKS,Phase 2,12/31/2018,2018;,3.85
Zilretta - SHIP,FLXN,Phase 2,12/31/2018,2H 2018;,23.41
Gemcabene - AZURE-1,GEMP,Phase 2,12/31/2018,2H 2018;,8.17
Tirabrutinib (GS-4059),GILD,Phase 2,12/31/2018,2H 2018;,80.98
GS-9876,GILD,Phase 2,12/31/2018,2H 2018;,80.98
GS-5734,GILD,Phase 2,12/31/2018,2H 2018;,80.98
Axicabtagene ciloleucel - KTE-C19 (ZUMA-2),GILD,Phase 2,12/31/2018,2018;,80.98
Axicabtagene ciloleucel - KTE-C19 (ZUMA-3),GILD,Phase 1/2,12/31/2018,2018;,80.98
Axicabtagene ciloleucel - KTE-C19 (ZUMA-4),GILD,Phase 1/2,12/31/2018,2018;,80.98
Trilaciclib,GTHX,Phase 2,12/31/2018,4Q 2018;,26.34
Enobosarm,GTXI,Phase 2,12/31/2018,YE 2018;,13.25
Epidiolex,GWPH,Phase 3,12/31/2018,2H 2018;,132.42
Epidiolex,GWPH,Phase 3,12/31/2018,2H 2018;,132.42
PEGPH20 - HALO-301,HALO,Phase 3,12/31/2018,Late 4Q 2018;,17.98
PEGPH20 in combination with KEYTRUDA,HALO,Phase 1b,12/31/2018,2018;,17.98
HS-110 and nivolumab (Opdivo),HTBX,Phase 1b,12/31/2018,2H 2018;,0.34
Kadcyla (KATHERINE).,IMGN,Phase 3,12/31/2018,2018;,8.03
IMM-124E,IMRN,Phase 2,12/31/2018,4Q 2018;,7.11
IMM-529,IMRN,Phase 1/2,12/31/2018,4Q 2018;,7.11
Cannabidiol,INSY,Phase 2,12/31/2018,YE 2018;,8.69
LN-145,IOVA,Phase 2,12/31/2018,2018;,10.70
STELARA (USTEKINUMAB),JNJ,Phase 3,12/31/2018,2018;,147.36
JCARH125,JUNO,Phase 1,12/31/2018,2018;,67.81
Selinexor - SADAL,KPTI,Phase 2b,12/31/2018,2H 2018;,10.01
Flortaucipir F 18 (Tau imaging agent),LLY,Phase 3,12/31/2018,2018;,85.49
MM-121 (SHERBOC),MACK,Phase 2,12/31/2018,2H 2018;,10.82
MM-121,MACK,Phase 2,12/31/2018,2H 2018;,10.82
Annamycin,MBRX,Phase 1/2,12/31/2018,2018;,1.85
Ganaxolone,MRNS,Phase 2,12/31/2018,2018;,6.83
INGREZZA - T-Force GOLD,NBIX,Phase 2b,12/31/2018,Late-2018;,80.68
NUC-3373,NCNA,Phase 1,12/31/2018,2018;,20.51
NUC-1031 (Acelarin),NCNA,Phase 2,12/31/2018,2018;,20.51
NSR-RPGR,NITE,Phase 1/2,12/31/2018,2018;,14.73
RSV vaccine - prepare trial,NVAX,Phase 3,12/31/2018,4Q 2018 or 1Q 2019;,1.97
Tumor Treating Fields (TTFields) STELLAR,NVCR,Phase 2,12/31/2018,2018;,21.10
QVM149,NVS,Phase 3,12/31/2018,2018;,86.94
OBE022 - PROLONG,OBSV,Phase 2a,12/31/2018,YE 2018;,9.73
OTX-TP,OCUL,Phase 3,12/31/2018,2H 2018;,6.23
ImmunoPulse IL-12 - PISCES,ONCS,Phase 2b,12/31/2018,2018;,2.04
IV Rigosertib - INSPIRE,ONTX,Phase 3,12/31/2018,2H 2018;,1.77
OV101 (STARS),OVID,Phase 2,12/31/2018,2H 2018;,9.18
PRS-080,PIRS,Phase 2a,12/31/2018,2H 2018;,7.42
QR-010,PRQR,Phase 1/2,12/31/2018,2018;,3.00
PUR1800,PULM,Phase 2a,12/31/2018,4Q 2018;,1.48
AMT-061,QURE,Phase 3,12/31/2018,YE 2018;,17.99
DTX301,RARE,Phase 1/2,12/31/2018,2H 2018;,49.16
RHB-105 - ERADICATE Hp 2,RDHL,Phase 3,12/31/2018,2H 2018;,5.24
Dupixent (dupilumab),REGN,Phase 3,12/31/2018,2018;,371.53
Bardoxolone methyl - CATALYST,RETA,Phase 3,12/31/2018,2H 2018;,29.79
RGX-501,RGNX,Phase 1/2,12/31/2018,Late 2018;,27.10
Fostamatinib,RIGL,Phase 2,12/31/2018,2018;,4.23
"RT002 - SAKURA 1, 2 and 3",RVNC,Phase 3,12/31/2018,2H 2018;,33.95
COR-003 (levoketoconazole) - LOGICS,SBBP,Phase 3,12/31/2018,4Q 2018;,8.55
SCY-078 - oral - CARES,SCYX,Phase 3,12/31/2018,4Q 2018;,1.85
SCY-078 - oral (FURI),SCYX,Phase 3,12/31/2018,4Q 2018;,1.85
ADCETRIS in combination with chemotherapy - ECHELON-2,SGEN,Phase 3,12/31/2018,2018;,53.48
SB-FIX,SGMO,Phase 1/2,12/31/2018,2018;,17.75
SNA-001,SNNA,Phase 3,12/31/2018,2H 2018;,18.98
SNA-001,SNNA,Phase 3,12/31/2018,2H 2018;,18.98
Isatuximab,SNY,Phase 3,12/31/2018,4Q 2018;,44.60
Microdystrophin gene therapy rAAVrh74.MCK.GALGT2,SRPT,Phase 1/2,12/31/2018,2H 2018;,62.38
GALGT2 gene therapy,SRPT,Phase 1/2,12/31/2018,2H 2018;,62.38
Molgradex - IMPALA,SVRA,Phase 3,12/31/2018,YE 2018;,13.00
Closed Triple - CAPTAIN,TBPH,Phase 3,12/31/2018,2H 2018;,28.32
TRC105,TCON,Phase 2,12/31/2018,2018;,2.80
TRC102,TCON,Phase 2,12/31/2018,2018;,2.80
TRC105 (TAPPAS),TCON,Phase 3,12/31/2018,2H 2018;,2.80
Niraparib - AVANOVA,TSRO,Phase 1/2,12/31/2018,2H 2018;,63.91
Esuberaprost - BEAT,UTHR,Phase 3,12/31/2018,2018;,139.51
Orenitram,UTHR,Phase 3,12/31/2018,2H 2018;,139.51
Tradipitant,VNDA,Phase 2,12/31/2018,YE 2018;,14.50
HETLIOZ (tasimelteon),VNDA,Phase 3,12/31/2018,2018;,14.50
XBIO-101,XBIT,Phase 2,12/31/2018,YE 2018;,4.68
XmAb5871,XNCR,Phase 2,12/31/2018,4Q 2018;,21.56
Dasiglucagon,ZEAL,Phase 3,12/31/2018,2H 2018;,15.05
AR101 ARTEMIS,AIMT,Phase 3,03/31/2019,Early 2019;,38.90
TransCon,ASND,Phase 3,03/31/2019,1Q 2019;,51.53
CLBS03,CLBS,Phase 2,03/31/2019,Early 2019;,4.11
Suprachoroidal CLS-TA - SAPPHIRE,CLSD,Phase 3,03/31/2019,1Q 2019;,6.44
ThermoDox - OPTIMA,CLSN,Phase 3,03/31/2019,1Q 2019;,2.67
Mino-Lok,CTXR,Phase 3,03/31/2019,Early 2019;,4.34
Danirixin,GSK,Phase 2b,03/31/2019,1Q 2019;,38.20
ORMD-0801,ORMP,Phase 2b,03/31/2019,Early 2019;,8.38
Vonapanitase (PRT-201) PATENCY-2,PRTO,Phase 3,03/31/2019,1Q 2019;,2.45
RX-3117 in combination with Abraxane,RNN,Phase 2a,03/31/2019,1Q 2019;,2.40
ATA188,ATRA,Phase 1,06/30/2019,1H 2019;,29.50
ATA 129 - ALLELE,ATRA,Phase 3,06/30/2019,1H 2019;,29.50
CM-568 - Opdivo + Yervoy,BMY,Phase 2,06/30/2019,2H 2018 – 1H 2019;,62.28
Oral Brincidofovir,CMRX,–,06/30/2019,1H 2019;,4.93
Emricasan,CNAT,Phase 2,06/30/2019,1H 2019;,4.71
CEVA101,FBIO,Phase 2,06/30/2019,1H 2019;,3.96
GBT440 - HOPE,GBT,Phase 3,06/30/2019,1H 2019;,53.95
Tapinarof (GSK2894512),GSK,Phase 3,06/30/2019,1H 2019;,38.20
Inhaled PI3Kδ inhibitor,GSK,Phase 2b,06/30/2019,1H 2019;,38.20
Ocaliva (Obeticholic acid (OCA)) - REGENERATE,ICPT,Phase 3,06/30/2019,1H 2019;,57.72
Alpha-1 antitrypsin (AAT),KMDA,Phase 1/2,06/30/2019,1H 2019;,5.60
MIN-101,NERV,Phase 3,06/30/2019,1H 2019;,6.80
RA101495,RARX,Phase 2,06/30/2019,1H 2019;,8.00
Setmelanotide,RYTM,Phase 3,06/30/2019,1H 2019;,27.89
Entinostat plus Tecentriq - ENCORE 603,SNDX,Phase 1/2,06/30/2019,1H 2019;,10.17
SNA-120,SNNA,Phase 2b,06/30/2019,1H 2019;,18.98
Telavancin,TBPH,Phase 3,06/30/2019,2018/19;,28.32
TG-1101 and TGR-1202 - UNITY-NHL study,TGTX,Phase 2/3,06/30/2019,1H 2019;,9.35
AV-101,VTGN,Phase 2,06/30/2019,1H 2019;,1.21
Fitusiran (ATLAS),ALNY,Phase 3,10/31/2019,Mid-late 2019;,124.83
Venetoclax,ABBV,Phase 3,12/31/2019,2019;,104.64
Axalimogene filolisbac + durvalumab,ADXS,Phase 1/2,12/31/2019,2019;,2.93
AFM13,AFMD,Phase 2,12/31/2019,2019;,1.30
RAPASTINEL,AGN,Phase 3,12/31/2019,2019;,181.33
Vadadustat - INNO2VATE,AKBA,Phase 3,12/31/2019,2019;,14.71
Vadadustat - PRO2TECT,AKBA,Phase 3,12/31/2019,2019;,14.71
AKCEA-ANGPTL3-LRx,AKCA,Phase 2,12/31/2019,2019;,17.90
AKCEA-APOCIII-LRx,AKCA,Phase 2b,12/31/2019,2019;,17.90
ALLN-177,ALNA,Phase 3,12/31/2019,2H 2019;,9.65
KYPROLIS (ARROW),AMGN,Phase 3,12/31/2019,2019;,189.28
ANB020,ANAB,Phase 2b,12/31/2019,2019;,114.91
Iomab-B,ATNM,Phase 3,12/31/2019,2H 2019;,0.74
AZD3293,AZN,Phase 3,12/31/2019,2019;,35.44
Durvalumab +/- tremelimumab (DANUBE),AZN,Phase 3,12/31/2019,2019;,35.44
Brilinta (THEMIS),AZN,Phase 3,12/31/2019,2019;,35.44
NurOwn,BCLI,Phase 3,12/31/2019,Late 2019;,3.56
Vosoritide,BMRN,Phase 3,12/31/2019,2H 2019;,89.12
CM-649 – Opdivo+ Yervoy or Chemo,BMY,Phase 3,12/31/2019,2019;,62.28
CM-9LA Opdivo + Yervoy + Chemo,BMY,Phase 3,12/31/2019,2019;,62.28
CM-651 – Opdivo + Yervoy,BMY,Phase 3,12/31/2019,2019;,62.28
REVLIMID - MAGNIFY NHL-010,CELG,Phase 3,12/31/2019,2019;,102.65
Mycapssa - OPTIMAL,CHMA,Phase 3,12/31/2019,2019;,1.65
Emricasan,CNAT,Phase 2b,12/31/2019,2019;,4.71
DCC-2618 - INVICTUS,DCPH,Phase 3,12/31/2019,2019;,27.47
NeuVax in combination with Herceptin,GALE,Phase 2,12/31/2019,4Q 2019;,0.26
Mepolizumab - SYNAPSE,GSK,Phase 3,12/31/2019,2019;,38.20
Kadcyla (KAITLIN),IMGN,Phase 3,12/31/2019,2019;,8.03
Eftilagimod Alpha  - Active Immunotherapy PAClitaxel (AIPAC),IMMP,Phase 2b,12/31/2019,2019;,1.85
IMM-124E,IMRN,Phase 2,12/31/2019,2019;,7.11
Ruxolitinib - REACH 3,INCY,Phase 3,12/31/2019,2019;,93.16
INVOKANA - CREDENCE,JNJ,Phase 3,12/31/2019,2019;,147.36
DARZALEX (Daratumumab),JNJ,Phase 3,12/31/2019,2019;,147.36
KVD001,KALV,Phase 2,12/31/2019,2H 2019;,11.23
Selinexor - SEAL,KPTI,Phase 2/3,12/31/2019,2019;,10.01
Selinexor - BOSTON,KPTI,Phase 3,12/31/2019,2019;,10.01
Inclisiran,MDCO,Phase 3,12/31/2019,YE 2019;,24.83
MK-8931 (019) - Verubecestat,MRK,Phase 3,12/31/2019,2019;,61.28
QAW039 (fevipiprant),NVS,Phase 3,12/31/2019,2019;,86.94
OMB157 (ofatumumab),NVS,Phase 3,12/31/2019,2019;,86.94
Entresto - PARAGON,NVS,Phase 3,12/31/2019,2019;,86.94
Entresto - PARADISE,NVS,Phase 3,12/31/2019,2019;,86.94
AIN457 (Cosentyx),NVS,Phase 3,12/31/2019,2019;,86.94
OBE2109 - PRIMROSE 2,OBSV,Phase 3,12/31/2019,2H 2019;,9.73
OBE2109 - PRIMROSE,OBSV,Phase 3,12/31/2019,2H 2019;,9.73
Zimura,OPHT,Phase 2a,12/31/2019,2H 2019;,2.94
OvaPrime,OVAS,Phase 1/2,12/31/2019,2019;,1.09
Bardoxolone methyl - CARDINAL,RETA,Phase 3,12/31/2019,2H 2019;,29.79
Omaveloxolone - MOXIe,RETA,Phase 2,12/31/2019,2H 2019;,29.79
Sci-B-Vac - PROTECT,VBIV,Phase 3,12/31/2019,2H 2019;,4.19
ZYN002,ZYNE,Phase 2/3,12/31/2019,2019;,11.45
Axalimogene filolisbac - AIM2CERV Trial,ADXS,Phase 3,06/30/2020,2020/21;,2.93
Terlipressin,MNK,Phase 3,06/30/2020,1H 2020;,21.30
H.P. Acthar Gel,MNK,Phase 2,06/30/2020,1H 2020;,21.30
UVADEX (methoxsalen) and Therakos,MNK,Phase 3,06/30/2020,1H 2020;,21.30
RELAMORELIN,AGN,Phase 3,12/31/2020,2020;,181.33
Durvalumab (ADJUVANT),AZN,Phase 3,12/31/2020,2020;,35.44
BL-8040 GENESIS,BLRX,Phase 3,12/31/2020,2020;,1.09
Edasalonexent (CAT-1004),CATB,Phase 3,12/31/2020,2020;,1.53
REVLIMID - MAGNIFY NHL-008,CELG,Phase 3,12/31/2020,2020;,102.65
Mycapssa - MPOWERED,CHMA,Phase 3,12/31/2020,2020;,1.65
Anabasum (Resunab),CRBP,Phase 3,12/31/2020,2020;,8.25
Daprodustat - ASCEND-D,GSK,Phase 3,12/31/2020,2020;,38.20
Ruxolitinib - REACH 2,INCY,Phase 3,12/31/2020,2020;,93.16
GDC-0084,KZIA,Phase 2,12/31/2020,2020;,3.38
Tumor Treating Fields (TTFields) METIS,NVCR,Phase 3,12/31/2020,2020;,21.10
Tesetaxel - CONTESSA,ODT,Phase 3,12/31/2020,2020;,22.30
Zimura,OPHT,Phase 2b,12/31/2020,2020;,2.94
NEOD001 VITAL,PRTA,Phase 3,12/31/2020,2020;,39.52
Tumor Treating Fields (TTFields) LUNAR,NVCR,Phase 3,12/31/2021,2021;,21.10
CNP 520,NVS,Phase 2/3,12/31/2023,2023;,86.94
