ticker,drug,stage,date
PRTO,Vonapanitase (PRT-201) PATENCY-2,Phase 3,03/31/2019
XNCR,XmAb5871,Phase 2,03/31/2019
ABBV,ABBV-8E12,Phase 2,06/30/2019
ATNM,Iomab-B,Phase 3,06/30/2019
BMY,CM-568 - Opdivo + Yervoy,Phase 2,06/30/2019
CNAT,Emricasan,Phase 2,06/30/2019
FBIO,CEVA101,Phase 2,06/30/2019
GBT,GBT440 - HOPE,Phase 3,06/30/2019
GSK,Tapinarof,Phase 3,06/30/2019
GSK,Inhaled PI3Kδ inhibitor,Phase 2b,06/30/2019
ICPT,Ocaliva (Obeticholic acid (OCA)) - REGENERATE,Phase 3,06/30/2019
RYTM,Setmelanotide,Phase 3,06/30/2019
SNNA,SNA-120,Phase 2b,06/30/2019
TBPH,Telavancin,Phase 3,06/30/2019
AKBA,Vadadustat - INNO2VATE,Phase 3,07/31/2019
AKBA,Vadadustat - PRO2TECT,Phase 3,07/31/2019
ABBV,Venetoclax,Phase 3,12/31/2019
AFMD,AFM13,Phase 2,12/31/2019
AGN,RAPASTINEL,Phase 3,12/31/2019
ALNY,Inclisiran,Phase 3,12/31/2019
ALNY,Fitusiran (ATLAS),Phase 3,12/31/2019
AZN,AZD3293,Phase 3,12/31/2019
BCLI,NurOwn,Phase 3,12/31/2019
BMRN,Valoctocogene roxaparvovec (BMN 270),Phase 3,12/31/2019
BMRN,Vosoritide,Phase 3,12/31/2019
CELG,REVLIMID - MAGNIFY NHL-010,Phase 3,12/31/2019
CHMA,Mycapssa - OPTIMAL,Phase 3,12/31/2019
CNAT,Emricasan,Phase 2b,12/31/2019
CRBP,Anabasum (Resunab),Phase 3,12/31/2019
GALE,NeuVax in combination with Herceptin,Phase 2,12/31/2019
GSK,Mepolizumab - SYNAPSE,Phase 3,12/31/2019
IMGN,Kadcyla (KAITLIN),Phase 3,12/31/2019
JNJ,INVOKANA - CREDENCE,Phase 3,12/31/2019
JNJ,DARZALEX (Daratumumab),Phase 3,12/31/2019
KPTI,Selinexor - SEAL,Phase 2/3,12/31/2019
KPTI,Selinexor - BOSTON,Phase 3,12/31/2019
LLY,AZD3293,Phase 3,12/31/2019
MDCO,Inclisiran,Phase 3,12/31/2019
MRK,MK-8931 (019) - Verubecestat,Phase 3,12/31/2019
NVS,QAW039 (fevipiprant),Phase 3,12/31/2019
NVS,OMB157 (ofatumumab),Phase 3,12/31/2019
NVS,Entresto - PARADISE,Phase 3,12/31/2019
OBSV,OBE2109 - PRIMROSE,Phase 3,12/31/2019
RETA,Bardoxolone methyl - CARDINAL,Phase 3,12/31/2019
RETA,Omaveloxolone - MOXIe,Phase 2,12/31/2019
SNY,Fitusiran (ATLAS),Phase 3,12/31/2019
ABBV,ABBV-8E12,Phase 2,06/30/2020
ADXS,Axalimogene filolisbac - AIM2CERV Trial,Phase 3,06/30/2020
AGN,RELAMORELIN,Phase 3,12/31/2020
CELG,REVLIMID - MAGNIFY NHL-008,Phase 3,12/31/2020
CHMA,Mycapssa - MPOWERED,Phase 3,12/31/2020
GSK,Daprodustat - ASCEND-D,Phase 3,12/31/2020
INCY,Ruxolitinib - REACH 2,Phase 3,12/31/2020
NVCR,Tumor Treating Fields (TTFields) METIS,Phase 3,12/31/2020
NVS,Ruxolitinib - REACH 2,Phase 3,12/31/2020
PFE,XTANDI,Phase 3,12/31/2020
PFE,XTANDI (EMBARK),Phase 3,06/30/2021
NVCR,Tumor Treating Fields (TTFields) LUNAR,Phase 3,12/31/2021
AMGN,CNP 520,Phase 2/3,12/31/2023
NVS,CNP 520,Phase 2/3,12/31/2023
