ticker,end_date,stage,price,drug,date_text
AZN,12/31/2018,Phase 3,35.90,FASENRA (benralizumab) - TERRANOVA,2H 2018;
AZN,12/31/2018,Phase 3,35.90,Durvalumab +/- tremelimumab (NEPTUNE),2H 2018;
AZN,12/31/2018,Phase 3,35.90,Anifrolumab,2H 2018;
BIIB,12/31/2018,Phase 2,343.83,Raxatrigine - BIIB074 (Nav1.7 inhibitor),2018;
BIIB,12/31/2018,Phase 2,343.83,BAN2401 (Aβ mAb),2H 2018;
BIVV,12/31/2018,Phase 1/2,103.99,BIVV001 (EXTEN-A),2018;
BLPH,12/31/2018,Phase 2b,2.27,INOpulse delivery device,YE 2018;
BLPH,12/31/2018,Phase 2,2.27,INOpulse delivery device,YE 2018;
BLPH,12/31/2018,Phase 3,2.27,INOpulse delivery device,2018;
BLRX,12/31/2018,Phase 2,1.05,BL-8040 in combination with KEYTRUDA - COMBAT trial,
BLRX,12/31/2018,Phase 2b,1.05,BL-8040,2018;
BMY,12/31/2018,Phase 3,63.48,CM-602 – Opdivo + Elo + SOC,2H 2018;
BMY,12/31/2018,Phase 3,63.48,CM-459 – Opdivo,2H 2018;
BMY,12/31/2018,Phase 3,63.48,CM-451 – Opdivo + Yervoy,2H 2018;
BYSI,12/31/2018,Phase 3,26.92,Plinabulin,2018;
CANF,12/31/2018,Phase 2,2.29,Namodenoson (CF102),2H 2018;
CASC,12/31/2018,Phase 2,9.96,Tucatinib - MOUNTAINEER,2018;
CELG,12/31/2018,Phase 3,99.80,OTEZLA - SPSO-001,2018;
CELG,12/31/2018,Phase 3,99.80,REVLIMID - ROBUST,2018;
CELG,12/31/2018,Phase 3,99.80,MM-007 OPTIMISMM,2018;
CELG,12/31/2018,Phase 3,99.80,Oral Azacitidine - CC-486-AML-001,2H 2018;
CELG,12/31/2018,Phase 3,99.80,ABRAXANE - PANC-003 apact,2018;
CELG,12/31/2018,Phase 3,99.80,ABRAXANE - IMpower 130 ( I/O Combo),2018;
CELG,12/31/2018,Phase 3,99.80,ABRAXANE - IMpower 131 ( I/O Combo),2018;
CELG,12/31/2018,Phase 3,99.80,ABRAXANE - IMPassion ( I/O Combo),2018;
CFRX,12/31/2018,Phase 2,1.41,CF-301,4Q 2018;
CMRX,12/31/2018,Phase 2,4.70,IV Brincidofovir,2H 2018;
CMTX,12/31/2018,Phase 2,10.00,CX-2009 - PROCLAIM,2H 2018;
CNAT,12/31/2018,Phase 2,5.17,Emricasan,2H 2018;
CNCE,12/31/2018,Phase 2a,20.01,CTP-543,2H 2018;
CTMX,12/31/2018,Phase 1/2,26.93,CX 2009,2H 2018;
DCPH,12/31/2018,Phase 1,26.12,DCC-3014,2H 2018;
EGRX,12/31/2018,Phase 3,58.37,Fulvestrant,4Q 2018;
EIGR,12/31/2018,Phase 2,8.20,Ubenimex - ULTRA,2H 2018;
EPZM,12/31/2018,Phase 2,16.85,Tazemetostat,2018;
ESPR,12/31/2018,Phase 3,70.46,Bempedoic Acid/ Ezetimibe (1002FDC-053),4Q 2018;
FGEN,12/31/2018,Phase 3,55.75,Roxadustat - ANDES,2H 2018;
FLKS,12/31/2018,Phase 2,3.83,FLX-787,2018;
FLXN,12/31/2018,Phase 2,21.60,Zilretta - SHIP,2H 2018;
GEMP,12/31/2018,Phase 2,9.58,Gemcabene - AZURE-1,2H 2018;
GILD,12/31/2018,Phase 2,81.73,Tirabrutinib (GS-4059),2H 2018;
GILD,12/31/2018,Phase 2,81.73,GS-9876,2H 2018;
GILD,12/31/2018,Phase 2,81.73,GS-5734,2H 2018;
GILD,12/31/2018,Phase 2,81.73,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2),2018;
GILD,12/31/2018,Phase 1/2,81.73,Axicabtagene ciloleucel - KTE-C19 (ZUMA-3),2018;
GILD,12/31/2018,Phase 1/2,81.73,Axicabtagene ciloleucel - KTE-C19 (ZUMA-4),2018;
GLYC,12/31/2018,Phase 3,22.33,GMI-1070 (rivipansel),2018;
GTHX,12/31/2018,Phase 2,22.97,Trilaciclib,4Q 2018;
GTXI,12/31/2018,Phase 2,14.31,Enobosarm,YE 2018;
GWPH,12/31/2018,Phase 3,133.30,Epidiolex,2H 2018;
GWPH,12/31/2018,Phase 3,133.30,Epidiolex,2H 2018;
HALO,12/31/2018,Phase 3,18.37,PEGPH20 - HALO-301,Late 4Q 2018;
HALO,12/31/2018,Phase 1b,18.37,PEGPH20 in combination with KEYTRUDA,2018;
IMGN,12/31/2018,Phase 3,9.76,Kadcyla (KATHERINE).,2018;
IMRN,12/31/2018,Phase 2,8.05,IMM-124E,4Q 2018;
IMRN,12/31/2018,Phase 1/2,8.05,IMM-529,4Q 2018;
INSY,12/31/2018,Phase 2,8.80,Cannabidiol,YE 2018;
JNJ,12/31/2018,Phase 3,137.68,STELARA (USTEKINUMAB),2018;
JUNO,12/31/2018,Phase 1,85.60,JCARH125,2018;
KPTI,12/31/2018,Phase 2b,11.66,Selinexor - SADAL,2H 2018;
LLY,12/31/2018,Phase 3,81.18,Ramucirumab,2018;
LLY,12/31/2018,Phase 3,81.18,Ramucirumab,2018;
LLY,12/31/2018,Phase 3,81.18,Empagliflozin,2018;
LLY,12/31/2018,Phase 3,81.18,Ixekizumab,2018;
LLY,12/31/2018,–,81.18,Tradjenta (linagliptin) - CARMELINA CV outcomes,2018;
LLY,12/31/2018,Phase 3,81.18,Ultra rapid insulin,2018;
LLY,12/31/2018,Phase 3,81.18,Tanezumab,2018;
LLY,12/31/2018,Phase 3,81.18,Ramucirumab,2018;
LLY,12/31/2018,Phase 3,81.18,Flortaucipir F 18 (Tau imaging agent),2018;
MACK,12/31/2018,Phase 2,10.50,MM-121 (SHERBOC),2H 2018;
MACK,12/31/2018,Phase 2,10.50,MM-121,2H 2018;
MBRX,12/31/2018,Phase 1/2,1.79,Annamycin,2018;
MNLO,12/31/2018,Phase 2,30.56,Serlopitant,Late 2018 or early 2019;
MNLO,12/31/2018,Phase 2,30.56,Serlopitant,Late 2018 or early 2019;
MRNS,12/31/2018,Phase 2,6.92,Ganaxolone,2018;
NBIX,12/31/2018,Phase 2b,83.33,INGREZZA - T-Force GOLD,Late-2018;
NCNA,12/31/2018,Phase 1,23.13,NUC-3373,2018;
NCNA,12/31/2018,Phase 2,23.13,NUC-1031 (Acelarin),2018;
NITE,12/31/2018,Phase 1/2,14.70,NSR-RPGR,2018;
NVAX,12/31/2018,Phase 3,2.00,RSV vaccine - prepare trial,4Q 2018 or 1Q 2019;
NVCR,12/31/2018,Phase 2,21.30,Tumor Treating Fields (TTFields) STELLAR,2018;
NVS,12/31/2018,Phase 3,88.39,BYL719,2H 2018;
NVS,12/31/2018,Phase 2,88.39,LIK066,2H 2018;
NVS,12/31/2018,Phase 3,88.39,Entresto - PARAGON,2H 2018;
OBSV,12/31/2018,Phase 2a,11.00,OBE022 - PROLONG,YE 2018;
OCUL,12/31/2018,Phase 3,5.18,OTX-TP,2H 2018;
ONCS,12/31/2018,Phase 2b,1.66,ImmunoPulse IL-12 - PISCES,2018;
OVID,12/31/2018,Phase 2,8.40,OV101 (STARS),2H 2018;
PIRS,12/31/2018,Phase 2a,8.07,PRS-080,2H 2018;
PRQR,12/31/2018,Phase 1/2,3.18,QR-010,2018;
PULM,12/31/2018,Phase 2a,1.63,PUR1800,4Q 2018;
QURE,12/31/2018,Phase 3,18.22,AMT-061,YE 2018;
RARE,12/31/2018,Phase 1/2,49.06,DTX301,2H 2018;
RDHL,12/31/2018,Phase 3,5.84,RHB-105 - ERADICATE Hp 2,2H 2018;
REGN,12/31/2018,Phase 3,347.86,Dupixent (dupilumab),2018;
RETA,12/31/2018,Phase 3,27.80,Bardoxolone methyl - CATALYST,2H 2018;
RGNX,12/31/2018,Phase 1/2,24.80,RGX-501,Late 2018;
RIGL,12/31/2018,Phase 2,3.97,Fostamatinib,2018;
RVNC,12/31/2018,Phase 3,31.50,"RT002 - SAKURA 1, 2 and 3",2H 2018;
SBBP,12/31/2018,Phase 3,6.80,COR-003 (levoketoconazole) - LOGICS,4Q 2018;
SCYX,12/31/2018,Phase 3,1.77,SCY-078 - oral - CARES,4Q 2018;
SCYX,12/31/2018,Phase 3,1.77,SCY-078 - oral (FURI),4Q 2018;
SGEN,12/31/2018,Phase 3,55.90,ADCETRIS in combination with chemotherapy - ECHELON-2,2018;
SGMO,12/31/2018,Phase 1/2,19.65,SB-FIX,2018;
SNGX,12/31/2018,Phase 3,2.12,SGX301 (synthetic hypericin),2H 2018;
SNNA,12/31/2018,Phase 3,16.61,SNA-001,2H 2018;
SNNA,12/31/2018,Phase 3,16.61,SNA-001,2H 2018;
SNY,12/31/2018,Phase 3,43.22,Isatuximab,4Q 2018;
SRPT,12/31/2018,Phase 1/2,63.12,Microdystrophin gene therapy rAAVrh74.MCK.GALGT2,2H 2018;
SRPT,12/31/2018,Phase 1/2,63.12,GALGT2 gene therapy,2H 2018;
SVRA,12/31/2018,Phase 3,11.45,Molgradex - IMPALA,YE 2018;
SYBX,12/31/2018,Phase 1,9.80,SYNB1618,2H 2018;
SYBX,12/31/2018,Phase 1/2,9.80,SYNB1020,YE 2018;
TBPH,12/31/2018,Phase 3,24.68,Closed Triple - CAPTAIN,2H 2018;
TCON,12/31/2018,Phase 2,2.80,TRC105,2018;
TCON,12/31/2018,Phase 2,2.80,TRC102,2018;
TCON,12/31/2018,Phase 3,2.80,TRC105 (TAPPAS),2H 2018;
TORC,12/31/2018,Phase 2b,17.04,RTB101 and Everolimus,2H 2018;
TSRO,12/31/2018,Phase 1/2,59.94,Niraparib - AVANOVA,2H 2018;
UTHR,12/31/2018,Phase 3,133.31,Esuberaprost - BEAT,2018;
UTHR,12/31/2018,Phase 3,133.31,Orenitram,2H 2018;
VNDA,12/31/2018,Phase 2,16.15,Tradipitant,YE 2018;
VNDA,12/31/2018,Phase 3,16.15,HETLIOZ (tasimelteon),2018;
VTGN,12/31/2018,Phase 2,1.16,AV-101,2H 2018;
XBIT,12/31/2018,Phase 2,4.54,XBIO-101,YE 2018;
XNCR,12/31/2018,Phase 2,21.54,XmAb5871,4Q 2018;
ZEAL,12/31/2018,Phase 3,16.34,Dasiglucagon,2H 2018;
AIMT,03/31/2019,Phase 3,36.18,AR101 ARTEMIS,Early 2019;
ASND,03/31/2019,Phase 3,49.79,TransCon,1Q 2019;
CLBS,03/31/2019,Phase 2,4.22,CLBS03,Early 2019;
CLSD,03/31/2019,Phase 3,6.16,Suprachoroidal CLS-TA - SAPPHIRE,1Q 2019;
CLSN,03/31/2019,Phase 3,2.35,ThermoDox - OPTIMA,1Q 2019;
CTXR,03/31/2019,Phase 3,3.93,Mino-Lok,Early 2019;
EVFM,03/31/2019,Phase 3,8.65,Amphora - AMPOWER,1Q 2019;
GSK,03/31/2019,Phase 2b,37.10,Danirixin,1Q 2019;
IMRN,03/31/2019,Phase 1/2,8.05,IMM-529,1Q 2019;
ORMP,03/31/2019,Phase 2b,7.98,ORMD-0801,Early 2019;
PRTO,03/31/2019,Phase 3,2.25,Vonapanitase (PRT-201) PATENCY-2,1Q 2019;
RNN,03/31/2019,Phase 2a,2.01,RX-3117 in combination with Abraxane,1Q 2019;
ATRA,06/30/2019,Phase 1,33.05,ATA188,1H 2019;
ATRA,06/30/2019,Phase 3,33.05,ATA 129 - ALLELE,1H 2019;
BMY,06/30/2019,Phase 2,63.48,CM-568 - Opdivo + Yervoy,2H 2018 – 1H 2019;
CMRX,06/30/2019,–,4.70,Oral Brincidofovir,1H 2019;
CNAT,06/30/2019,Phase 2,5.17,Emricasan,1H 2019;
DERM,06/30/2019,Phase 2b,27.80,Lebrikizumab,1H 2019;
FBIO,06/30/2019,Phase 2,3.72,CEVA101,1H 2019;
GBT,06/30/2019,Phase 3,60.80,GBT440 - HOPE,1H 2019;
GSK,06/30/2019,Phase 3,37.10,Tapinarof (GSK2894512),1H 2019;
GSK,06/30/2019,Phase 2b,37.10,Inhaled PI3Kδ inhibitor,1H 2019;
ICPT,06/30/2019,Phase 3,62.87,Ocaliva (Obeticholic acid (OCA)) - REGENERATE,1H 2019;
KMDA,06/30/2019,Phase 1/2,5.20,Alpha-1 antitrypsin (AAT),1H 2019;
NERV,06/30/2019,Phase 3,6.20,MIN-101,1H 2019;
RARX,06/30/2019,Phase 2,7.02,RA101495,1H 2019;
RYTM,06/30/2019,Phase 3,29.54,Setmelanotide,1H 2019;
SLDB,06/30/2019,Phase 1/2,29.00,SGT-001,1H 2019;
SNDX,06/30/2019,Phase 1/2,11.14,Entinostat plus Tecentriq - ENCORE 603,1H 2019;
SNGX,06/30/2019,Phase 3,2.12,SGX942 (dusquetide),1H 2019;
SNNA,06/30/2019,Phase 2b,16.61,SNA-120,1H 2019;
TBPH,06/30/2019,Phase 3,24.68,Telavancin,2018/19;
TGTX,06/30/2019,Phase 2/3,11.80,TG-1101 and TGR-1202 - UNITY-NHL study,1H 2019;
VTGN,06/30/2019,Phase 2,1.16,AV-101,1H 2019;
ALNY,10/31/2019,Phase 3,124.50,Fitusiran (ATLAS),Mid-late 2019;
ABBV,12/31/2019,Phase 3,115.17,Venetoclax,2019;
ADXS,12/31/2019,Phase 1/2,2.90,Axalimogene filolisbac + durvalumab,2019;
AFMD,12/31/2019,Phase 2,1.88,AFM13,2019;
AGN,12/31/2019,Phase 3,172.51,RAPASTINEL,2019;
AKBA,12/31/2019,Phase 3,14.56,Vadadustat - INNO2VATE,2019;
AKBA,12/31/2019,Phase 3,14.56,Vadadustat - PRO2TECT,2019;
AKCA,12/31/2019,Phase 2,22.70,AKCEA-ANGPTL3-LRx,2019;
AKCA,12/31/2019,Phase 2b,22.70,AKCEA-APOCIII-LRx,2019;
ALNA,12/31/2019,Phase 3,8.69,ALLN-177,2H 2019;
AMGN,12/31/2019,Phase 3,187.01,KYPROLIS (ARROW),2019;
ANAB,12/31/2019,Phase 2b,104.81,ANB020,2019;
ATNM,12/31/2019,Phase 3,0.63,Iomab-B,2H 2019;
AZN,12/31/2019,Phase 3,35.90,Imfinzi + tremelimumab  (POSEIDON),2019;
AZN,12/31/2019,Phase 3,35.90,Imfinzi + tremelimumab (CASPIAN),2019;
AZN,12/31/2019,Phase 3,35.90,Imfinzi + tremelimumab  (DANUBE),2019;
AZN,12/31/2019,Phase 3,35.90,Lynparza - SOLO 3,2019;
AZN,12/31/2019,Phase 3,35.90,Farxiga (Dapa-HF),2019;
AZN,12/31/2019,Phase 3,35.90,Lanabecestat (AZD3293) - AMARANTH,2019;
AZN,12/31/2019,Phase 3,35.90,Durvalumab +/- tremelimumab (DANUBE),2019;
AZN,12/31/2019,Phase 3,35.90,Brilinta (THEMIS),2019;
BCLI,12/31/2019,Phase 3,3.32,NurOwn,Late 2019;
BMRN,12/31/2019,Phase 3,90.82,Vosoritide,2H 2019;
BMY,12/31/2019,Phase 3,63.48,CM-649 – Opdivo+ Yervoy or Chemo,2019;
BMY,12/31/2019,Phase 3,63.48,CM-9LA Opdivo + Yervoy + Chemo,2019;
BMY,12/31/2019,Phase 3,63.48,CM-651 – Opdivo + Yervoy,2019;
CELG,12/31/2019,Phase 3,99.80,REVLIMID - MAGNIFY NHL-010,2019;
CHMA,12/31/2019,Phase 3,1.55,Mycapssa - OPTIMAL,2019;
CNAT,12/31/2019,Phase 2b,5.17,Emricasan,2019;
DCPH,12/31/2019,Phase 3,26.12,DCC-2618 - INVICTUS,2019;
GSK,12/31/2019,Phase 3,37.10,Mepolizumab - SYNAPSE,2019;
IMGN,12/31/2019,Phase 3,9.76,Kadcyla (KAITLIN),2019;
IMMP,12/31/2019,Phase 2b,1.76,Eftilagimod Alpha  - Active Immunotherapy PAClitaxel (AIPAC),2019;
IMRN,12/31/2019,Phase 2,8.05,IMM-124E,2019;
INCY,12/31/2019,Phase 3,85.92,Ruxolitinib - REACH 3,2019;
INCY,12/31/2019,Phase 3,85.92,Ruxolitinib - REACH 2,2019;
JNJ,12/31/2019,Phase 3,137.68,INVOKANA - CREDENCE,2019;
JNJ,12/31/2019,Phase 3,137.68,DARZALEX (Daratumumab),2019;
KALV,12/31/2019,Phase 2,10.76,KVD001,2H 2019;
KPTI,12/31/2019,Phase 2/3,11.66,Selinexor - SEAL,2019;
KPTI,12/31/2019,Phase 3,11.66,Selinexor - BOSTON,2019;
MDCO,12/31/2019,–,32.23,Inclisiran - ORION 11,2H 2019;
MRK,12/31/2019,Phase 3,58.56,MK-8931 (019) - Verubecestat,2019;
NVS,12/31/2019,Phase 3,88.39,QVM149,2019;
NVS,12/31/2019,Phase 3,88.39,QAW039 (fevipiprant),2019;
NVS,12/31/2019,Phase 3,88.39,OMB157 (ofatumumab),2019;
NVS,12/31/2019,Phase 3,88.39,Entresto - PARADISE,2019;
OBSV,12/31/2019,Phase 3,11.00,OBE2109 - PRIMROSE 2,2H 2019;
OBSV,12/31/2019,Phase 3,11.00,OBE2109 - PRIMROSE,2H 2019;
ONTX,12/31/2019,Phase 3,1.36,IV Rigosertib - INSPIRE,2019;
OPHT,12/31/2019,Phase 2a,2.89,Zimura,2H 2019;
OVAS,12/31/2019,Phase 1/2,1.00,OvaPrime,2019;
RETA,12/31/2019,Phase 3,27.80,Bardoxolone methyl - CARDINAL,2H 2019;
RETA,12/31/2019,Phase 2,27.80,Omaveloxolone - MOXIe,2H 2019;
SLGL,12/31/2019,Phase 2,12.41,TWIN,2019;
SLGL,12/31/2019,Phase 2,12.41,VERED,2019;
SLS,12/31/2019,Phase 2,5.93,NeuVax in combination with Herceptin,4Q 2019;
VBIV,12/31/2019,Phase 3,3.89,Sci-B-Vac - PROTECT,2H 2019;
ZYNE,12/31/2019,Phase 2/3,10.92,ZYN002,2019;
ADXS,06/30/2020,Phase 3,2.90,Axalimogene filolisbac - AIM2CERV Trial,2020/21;
MNK,06/30/2020,Phase 3,17.26,Terlipressin,1H 2020;
MNK,06/30/2020,Phase 2,17.26,H.P. Acthar Gel,1H 2020;
MNK,06/30/2020,Phase 3,17.26,UVADEX (methoxsalen) and Therakos,1H 2020;
MNLO,06/30/2020,Phase 3,30.56,Serlopitant,1H 2020;
AGN,12/31/2020,Phase 3,172.51,RELAMORELIN,2020;
AZN,12/31/2020,Phase 3,35.90,Farxiga (Dapa-CKD),2020;
AZN,12/31/2020,Phase 3,35.90,Durvalumab (ADJUVANT),2020;
BLRX,12/31/2020,Phase 3,1.05,BL-8040 GENESIS,2020;
CATB,12/31/2020,Phase 3,1.42,Edasalonexent (CAT-1004),2020;
CELG,12/31/2020,Phase 3,99.80,REVLIMID - MAGNIFY NHL-008,2020;
CHMA,12/31/2020,Phase 3,1.55,Mycapssa - MPOWERED,2020;
CRBP,12/31/2020,Phase 3,7.05,Anabasum (Resunab),2020;
GSK,12/31/2020,Phase 3,37.10,Daprodustat - ASCEND-D,2020;
KZIA,12/31/2020,Phase 2,4.52,GDC-0084,2020;
NVCR,12/31/2020,Phase 3,21.30,Tumor Treating Fields (TTFields) METIS,2020;
ODT,12/31/2020,Phase 3,19.06,Tesetaxel - CONTESSA,2020;
OPHT,12/31/2020,Phase 2b,2.89,Zimura,2020;
PRTA,12/31/2020,Phase 3,39.60,NEOD001 VITAL,2020;
NVCR,12/31/2021,Phase 3,21.30,Tumor Treating Fields (TTFields) LUNAR,2021;
SLGL,12/31/2021,Phase 2,12.41,SIRS-T,2021;
NVS,12/31/2022,Phase 3,88.39,Cosentyx (secukinumab) - SURPASS,2022;
NVS,12/31/2024,Phase 2/3,88.39,CNP 520,2024;
