ticker,date,stage,drug
AGN,12/31/2019,Phase 3,RAPASTINEL
ALNY,12/31/2019,Phase 3,Inclisiran
ALNY,12/31/2019,Phase 3,Fitusiran (ATLAS)
AZN,12/31/2019,Phase 3,AZD3293
CELG,12/31/2019,Phase 3,REVLIMID - MAGNIFY NHL-010
CHMA,12/31/2019,Phase 3,Mycapssa - OPTIMAL
CNAT,12/31/2019,Phase 2b,Emricasan
CRBP,12/31/2019,Phase 3,Anabasum (Resunab)
GALE,12/31/2019,Phase 2,NeuVax in combination with Herceptin
GSK,12/31/2019,Phase 3,Mepolizumab - SYNAPSE
IMGN,12/31/2019,Phase 3,Kadcyla (KAITLIN)
JNJ,12/31/2019,Phase 3,INVOKANA - CREDENCE
JNJ,12/31/2019,Phase 3,DARZALEX (Daratumumab)
KPTI,12/31/2019,Phase 2/3,Selinexor - SEAL
KPTI,12/31/2019,Phase 3,Selinexor - BOSTON
LLY,12/31/2019,Phase 3,AZD3293
MDCO,12/31/2019,Phase 3,Inclisiran
MRK,12/31/2019,Phase 3,MK-8931 (019) - Verubecestat
NVS,12/31/2019,Phase 3,QAW039 (fevipiprant)
NVS,12/31/2019,Phase 3,OMB157 (ofatumumab)
NVS,12/31/2019,Phase 3,Entresto - PARADISE
RETA,12/31/2019,Phase 3,Bardoxolone methyl - CARDINAL
SNY,12/31/2019,Phase 3,Fitusiran (ATLAS)
ABBV,06/30/2020,Phase 2,ABBV-8E12
ADXS,06/30/2020,Phase 3,Axalimogene filolisbac - AIM2CERV Trial
OBSV,06/30/2020,Phase 3,OBE2109 - PRIMROSE
AGN,12/31/2020,Phase 3,RELAMORELIN
CELG,12/31/2020,Phase 3,REVLIMID - MAGNIFY NHL-008
CHMA,12/31/2020,Phase 3,Mycapssa - MPOWERED
GSK,12/31/2020,Phase 3,Daprodustat - ASCEND-D
INCY,12/31/2020,Phase 3,Ruxolitinib - REACH 2
NVCR,12/31/2020,Phase 3,Tumor Treating Fields (TTFields) METIS
NVS,12/31/2020,Phase 3,Ruxolitinib - REACH 2
PFE,12/31/2020,Phase 3,XTANDI
PFE,06/30/2021,Phase 3,XTANDI (EMBARK)
NVCR,12/31/2021,Phase 3,Tumor Treating Fields (TTFields) LUNAR
AMGN,12/31/2023,Phase 2/3,CNP 520
NVS,12/31/2023,Phase 2/3,CNP 520
