drug,stage,ticker,date
Closed Triple - CAPTAIN,Phase 3,TBPH,12/31/2018
Esuberaprost - BEAT,Phase 3,UTHR,12/31/2018
Orenitram,Phase 3,UTHR,12/31/2018
HETLIOZ (tasimelteon),Phase 3,VNDA,12/31/2018
RPL554,Phase 2b,VRNA,12/31/2018
AV-101,Phase 2,VTGN,12/31/2018
ThermoDox - OPTIMA,Phase 3,CLSN,03/31/2019
Danirixin,Phase 2b,GSK,03/31/2019
Vonapanitase (PRT-201) PATENCY-2,Phase 3,PRTO,03/31/2019
XmAb5871,Phase 2,XNCR,03/31/2019
ABBV-8E12,Phase 2,ABBV,06/30/2019
Iomab-B,Phase 3,ATNM,06/30/2019
CM-568 - Opdivo + Yervoy,Phase 2,BMY,06/30/2019
Emricasan,Phase 2,CNAT,06/30/2019
CEVA101,Phase 2,FBIO,06/30/2019
GBT440 - HOPE,Phase 3,GBT,06/30/2019
Tapinarof,Phase 3,GSK,06/30/2019
Inhaled PI3Kδ inhibitor,Phase 2b,GSK,06/30/2019
Obeticholic acid (OCA) - REGENERATE,Phase 3,ICPT,06/30/2019
Telavancin,Phase 3,TBPH,06/30/2019
Vadadustat - INNO2VATE,Phase 3,AKBA,07/31/2019
Vadadustat - PRO2TECT,Phase 3,AKBA,07/31/2019
Venetoclax,Phase 3,ABBV,12/31/2019
AFM13,Phase 2,AFMD,12/31/2019
RAPASTINEL,Phase 3,AGN,12/31/2019
Inclisiran,Phase 3,ALNY,12/31/2019
Fitusiran (ATLAS),Phase 3,ALNY,12/31/2019
AZD3293,Phase 3,AZN,12/31/2019
REVLIMID - MAGNIFY NHL-010,Phase 3,CELG,12/31/2019
Mycapssa - OPTIMAL,Phase 3,CHMA,12/31/2019
Emricasan,Phase 2b,CNAT,12/31/2019
Anabasum (Resunab),Phase 3,CRBP,12/31/2019
Mepolizumab - SYNAPSE,Phase 3,GSK,12/31/2019
Kadcyla (KAITLIN),Phase 3,IMGN,12/31/2019
INVOKANA - CREDENCE,Phase 3,JNJ,12/31/2019
DARZALEX (Daratumumab),Phase 3,JNJ,12/31/2019
Selinexor - SEAL,Phase 2/3,KPTI,12/31/2019
Selinexor - BOSTON,Phase 3,KPTI,12/31/2019
AZD3293,Phase 3,LLY,12/31/2019
Inclisiran,Phase 3,MDCO,12/31/2019
MK-8931 (019) - Verubecestat,Phase 3,MRK,12/31/2019
QAW039 (fevipiprant),Phase 3,NVS,12/31/2019
OMB157 (ofatumumab),Phase 3,NVS,12/31/2019
Entresto - PARADISE,Phase 3,NVS,12/31/2019
Bardoxolone methyl - CARDINAL,Phase 3,RETA,12/31/2019
Fitusiran (ATLAS),Phase 3,SNY,12/31/2019
ABBV-8E12,Phase 2,ABBV,06/30/2020
OBE2109 - PRIMROSE,Phase 3,OBSV,06/30/2020
RELAMORELIN,Phase 3,AGN,12/31/2020
REVLIMID - MAGNIFY NHL-008,Phase 3,CELG,12/31/2020
Mycapssa - MPOWERED,Phase 3,CHMA,12/31/2020
Daprodustat - ASCEND-D,Phase 3,GSK,12/31/2020
Ruxolitinib - REACH 2,Phase 3,INCY,12/31/2020
Tumor Treating Fields (TTFields) METIS,Phase 3,NVCR,12/31/2020
Ruxolitinib - REACH 2,Phase 3,NVS,12/31/2020
XTANDI,Phase 3,PFE,12/31/2020
XTANDI (EMBARK),Phase 3,PFE,06/30/2021
Tumor Treating Fields (TTFields) LUNAR,Phase 3,NVCR,12/31/2021
CNP 520,Phase 2/3,AMGN,12/31/2023
CNP 520,Phase 2/3,NVS,12/31/2023
