stage,drug,ticker,date
Phase 2,CEVA101,FBIO,06/30/2019
Phase 3,GBT440 - HOPE,GBT,06/30/2019
Phase 3,Tapinarof,GSK,06/30/2019
Phase 2b,Inhaled PI3Kδ inhibitor,GSK,06/30/2019
Phase 3,Obeticholic acid (OCA) - REGENERATE,ICPT,06/30/2019
Phase 3,Setmelanotide,RYTM,06/30/2019
Phase 3,Telavancin,TBPH,06/30/2019
Phase 3,Vadadustat - INNO2VATE,AKBA,07/31/2019
Phase 3,Vadadustat - PRO2TECT,AKBA,07/31/2019
Phase 3,Venetoclax,ABBV,12/31/2019
Phase 2,AFM13,AFMD,12/31/2019
Phase 3,RAPASTINEL,AGN,12/31/2019
Phase 3,Inclisiran,ALNY,12/31/2019
Phase 3,Fitusiran (ATLAS),ALNY,12/31/2019
Phase 3,AZD3293,AZN,12/31/2019
Phase 3,REVLIMID - MAGNIFY NHL-010,CELG,12/31/2019
Phase 3,Mycapssa - OPTIMAL,CHMA,12/31/2019
Phase 2b,Emricasan,CNAT,12/31/2019
Phase 3,Anabasum (Resunab),CRBP,12/31/2019
Phase 2,NeuVax in combination with Herceptin,GALE,12/31/2019
Phase 3,Mepolizumab - SYNAPSE,GSK,12/31/2019
Phase 3,Kadcyla (KAITLIN),IMGN,12/31/2019
Phase 3,INVOKANA - CREDENCE,JNJ,12/31/2019
Phase 3,DARZALEX (Daratumumab),JNJ,12/31/2019
Phase 2/3,Selinexor - SEAL,KPTI,12/31/2019
Phase 3,Selinexor - BOSTON,KPTI,12/31/2019
Phase 3,AZD3293,LLY,12/31/2019
Phase 3,Inclisiran,MDCO,12/31/2019
Phase 3,MK-8931 (019) - Verubecestat,MRK,12/31/2019
Phase 3,QAW039 (fevipiprant),NVS,12/31/2019
Phase 3,OMB157 (ofatumumab),NVS,12/31/2019
Phase 3,Entresto - PARADISE,NVS,12/31/2019
Phase 3,OBE2109 - PRIMROSE,OBSV,12/31/2019
Phase 3,Bardoxolone methyl - CARDINAL,RETA,12/31/2019
Phase 3,Fitusiran (ATLAS),SNY,12/31/2019
Phase 2,ABBV-8E12,ABBV,06/30/2020
Phase 3,Axalimogene filolisbac - AIM2CERV Trial,ADXS,06/30/2020
Phase 3,RELAMORELIN,AGN,12/31/2020
Phase 3,REVLIMID - MAGNIFY NHL-008,CELG,12/31/2020
Phase 3,Mycapssa - MPOWERED,CHMA,12/31/2020
Phase 3,Daprodustat - ASCEND-D,GSK,12/31/2020
Phase 3,Ruxolitinib - REACH 2,INCY,12/31/2020
Phase 3,Tumor Treating Fields (TTFields) METIS,NVCR,12/31/2020
Phase 3,Ruxolitinib - REACH 2,NVS,12/31/2020
Phase 3,XTANDI,PFE,12/31/2020
Phase 3,XTANDI (EMBARK),PFE,06/30/2021
Phase 3,Tumor Treating Fields (TTFields) LUNAR,NVCR,12/31/2021
Phase 2/3,CNP 520,AMGN,12/31/2023
Phase 2/3,CNP 520,NVS,12/31/2023
